,funding_year,district_group,districts_meeting,percent_meeting_of_total_pop,districts_pop,percent_of_meeting_districts,median_ia_bandwidth_per_student_kbps,median_ia_monthly_cost_total,median_ia_monthly_cost_per_mbps,median_ia_bw_mbps_total
27,2015,"Medium, Large & Mega",99,0.03322147651006711409,3859,0.11061452513966480447,1023.1923601637107776,6471.7036844145426188348109,1.8183573200992555831266,4000.0000000000000000
28,2019,Tiny & Small,3895,0.42882307607618628207,9440,0.81400208986415882968,2036.6598778004073320,1625.00000000000000000000,1.5933100000000000000000,1000.0000000000000000
29,2018,Tiny & Small,2933,0.32128382079088618688,9433,0.81790295593976575572,1872.6591760299625468,1758.4735877546938505080613,1.89654368932038834952,1000.0000000000000000
30,2017,Tiny & Small,2205,0.25133933660093468597,9462,0.82399103139013452915,1773.0496453900709220,1851.9741265106638013916207,2.0580541906026533632313,1000.0000000000000000
31,2016,Tiny & Small,1290,0.16424751718869365928,9343,0.84701247537754432042,1816.5319254248473849,1657.19436945622830696515,1.8993003341418534501835,1000.0000000000000000
32,2015,Tiny & Small,796,0.11228664127521512202,9074,0.88938547486033519553,1684.9211621555635047,1872.9227456085254097716043,2.3540456040431080239872,1000.0000000000000000
33,2019,Total,4785,0.38387484957882069795,12912,1,1851.8518518518518519,1830.5022769202350578890916,1.3851091826978354137645,1000.0000000000000000
34,2018,Total,3586,0.28516898608349900596,12916,1,1706.4846416382252560,1982.200000000000000000000,1.68000000000000000000,1000.0000000000000000
35,2017,Total,2676,0.22166998011928429423,12958,1,1652.8925619834710744,2049.00000000000000000000,1.9274778761061946902655,1000.0000000000000000
36,2016,Total,1523,0.13927754915409236397,12963,1,1702.7863777089783282,1857.1787450954467592848625,1.7933464204586050976048,1000.0000000000000000
37,2015,Total,895,0.08888668189492501738,12933,1,1607.7170418006430868,1932.7074976831249093087517,2.2325316328977032396944,1000.0000000000000000
