funding_year,state_code,district_id,num_students,old_total_bw,old_bw_per_student,new_total_bw,new_bw_per_student,total_bw_change,total_bw_percent_change
2019,AK,882778,586,110.0,187.71331058020482,240.0,409.55631399317406,130.0,1.181818181818182
2019,AK,882802,246,80.0,325.2032520325203,90.0,365.8536585365854,10.0,0.125
2019,CA,882932,411,100.0,243.30900243309003,253.0,615.5717761557178,153.0,1.53
2019,CA,882951,5828,1000.0,171.58544955387782,1003.0,172.10020590253947,3.0,0.003
2019,CA,883038,503,250.0,497.0178926441352,260.0,516.8986083499005,10.0,0.04
2019,AZ,883066,4043,1000.0,247.3410833539451,2000.0,494.6821667078902,1000.0,1.0
2019,AZ,883078,6825,2000.0,293.040293040293,5000.0,732.6007326007326,3000.0,1.5
2019,AZ,883080,3619,2000.0,552.638850511191,3000.0,828.9582757667863,1000.0,0.5
2019,CA,883091,4808,1000.0,207.98668885191344,1075.0,223.585690515807,75.0,0.075
2019,AZ,883092,3514,1000.0,284.5759817871372,2300.0,654.5247581104155,1300.0,1.3
2019,CA,883102,2203,250.0,113.48161597821155,500.0,226.9632319564231,250.0,1.0
2019,AZ,883105,2083,1000.0,480.07681228996637,2030.0,974.5559289486316,1030.0,1.03
2019,AZ,883133,5500,2500.0,454.54545454545456,4000.0,727.2727272727273,1500.0,0.6
2019,AZ,883151,34319,5000.0,145.6918907893587,21000.0,611.9059413153062,16000.0,3.2
2019,AZ,883153,13107,2000.0,152.59021896696422,8000.0,610.3608758678569,6000.0,3.0
2019,CA,883156,119,20.0,168.06722689075633,70.0,588.2352941176471,50.0,2.5
2019,CA,883165,53108,10000.0,188.29554869322888,19400.0,365.29336446486406,9400.0,0.94
2019,AZ,883172,5614,1000.0,178.12611328820805,2030.0,361.5960099750623,1030.0,1.03
2019,AZ,883196,11407,600.0,52.59928114315771,3000.0,262.99640571578857,2400.0,4.0
2019,CA,883197,3151,100.0,31.735956839098698,253.0,80.2919708029197,153.0,1.53
2019,AZ,883228,1124,200.0,177.93594306049823,1100.0,978.6476868327403,900.0,4.5
2019,AZ,883232,1388,500.0,360.2305475504323,700.0,504.32276657060515,200.0,0.4
2019,AZ,883282,808,400.0,495.04950495049513,560.0,693.0693069306931,160.0,0.4
2019,AZ,883294,3948,1000.0,253.29280648429585,2030.0,514.1843971631207,1030.0,1.03
2019,AZ,883323,3134,750.0,239.31078493937457,1100.0,350.98915124441606,350.0,0.4666666666666667
2019,AZ,883349,2523,1000.0,396.35354736424887,2080.0,824.4153785176378,1080.0,1.08
2019,CA,883354,34940,10000.0,286.20492272467084,12150.0,347.73898111047515,2150.0,0.215
2019,AZ,883363,15767,2000.0,126.8472125325046,5000.0,317.1180313312615,3000.0,1.5
2019,AZ,883367,2104,1000.0,475.2851711026616,2000.0,950.5703422053232,1000.0,1.0
2019,CA,883368,13498,10000.0,740.8504963698325,10500.0,777.8930211883243,500.0,0.05
2019,AZ,883390,47102,10000.0,212.30520996985263,12000.0,254.7662519638232,2000.0,0.2
