state,circuit_size,year,avg_decr,mrc,perc_decr_yoy,perc_decr
national,200,2019,0.15655955298864224,1250.0,-0.1611695309931082,
national,50,2019,0.1795626450728112,652.25,-0.22760376576469896,
national,500,2019,0.16940499005538293,1810.0,-0.17727272727272728,
national,aggregate,2019,0.09291692850135541,1800.0,-0.09954977488744372,
AK,$_mbps,2020,0.07210365987352828,336.65244280671163,0.07210365987352828,-0.3994850346268676
national,$_mbps,2020,0.32315884516559373,1.6209144451141895,0.32315884516559373,-0.25234573564843665
AK,100,2020,0.0,7000.0,0.0,0.0
AK,1000,2020,0.3510481890651033,2433.5692910058624,0.3510481890651033,-0.3510481890651034
AK,200,2020,14.115384615384615,-64429.32692307692,14.115384615384615,-14.115384615384615
AK,50,2020,0.0,30797.5,0.0,0.0
AK,500,2020,0.033876074174581626,7245.9294436906375,0.033876074174581626,-0.03387607417458166
national,100,2020,0.17074614411211012,713.1583160635853,0.17074614411211012,-0.17074614411211012
national,1000,2020,0.1581228272275071,1717.8840461291827,0.1581228272275071,-0.15812282722750706
national,10000,2020,0.1312202956330587,5082.361270546607,0.1312202956330587,-0.1312202956330587
national,200,2020,0.15655955298864224,1054.3005587641971,0.15655955298864224,-0.15655955298864227
national,50,2020,0.1795626450728112,535.1302647512589,0.1795626450728112,-0.1795626450728112
national,500,2020,0.16940499005538293,1503.376967999757,0.16940499005538293,-0.1694049900553829
national,aggregate,2020,0.09291692850135541,1632.7495286975602,0.09291692850135541,-0.09291692850135544
AK,$_mbps,2021,0.07210365987352828,-6.847029746372755,0.07210365987352828,-1.0122136165024431
national,$_mbps,2021,0.32315884516559373,1.2765674483195966,0.32315884516559373,-0.4111773762363485
AK,100,2021,0.0,7000.0,0.0,0.0
AK,1000,2021,0.3510481890651033,1579.269198433807,0.3510481890651033,-0.5788615470843181
AK,200,2021,14.115384615384615,845015.4031065089,14.115384615384615,171.01331360946745
AK,50,2021,0.0,30797.5,0.0,0.0
AK,500,2021,0.033876074174581626,7000.465800392389,0.033876074174581626,-0.06660455994768151
national,100,2021,0.17074614411211012,591.3892834542426,0.17074614411211012,-0.3123380424950668
national,1000,2021,0.1581228272275071,1446.247363906207,0.1581228272275071,-0.2912428259645941
national,10000,2021,0.1312202956330587,4415.452322111473,0.1312202956330587,-0.24522182528009004
national,200,2021,0.15655955298864224,889.2397345683987,0.15655955298864224,-0.288608212345281
national,50,2021,0.1795626450728112,439.0408589540091,0.1795626450728112,-0.32688254664007804
national,500,2021,0.16940499005538293,1248.6974076862664,0.16940499005538293,-0.31011192945510146
national,aggregate,2021,0.09291692850135541,1481.0394574789473,0.09291692850135541,-0.17720030140058485
AK,$_mbps,2022,0.07210365987352828,-576.5309884522139,0.07210365987352828,-2.0284062806153407
national,$_mbps,2022,0.32315884516559373,1.0650022800908494,0.32315884516559373,-0.5087627859359551
AK,100,2022,0.0,7000.0,0.0,0.0
