,district_id,name,state_code,num_students,spiya_or_peer_deal,current_provider_deal,deal_current_provider_array
4856,952354,Winston-Dillard School District 116,OR,1434,False,False,
4857,952356,Woodburn School District 103,OR,5631,False,False,
4858,953552,Central Valley School District,PA,2345,False,False,
4859,953601,Abington Heights School District,PA,3304,False,False,
4860,953602,Abington School District,PA,8126,False,False,
4861,953603,Albert Gallatin Area School District,PA,3416,True,True,['Verizon']
4862,953604,Aliquippa School District,PA,1077,False,False,
4863,953606,Allentown School District,PA,16596,False,False,
4864,953608,Altoona Area School District,PA,7755,False,False,
4865,953610,Wissahickon School District,PA,4481,False,False,
4866,953612,Antietam School District,PA,1053,True,False,
4867,953616,Annville Cleona School District,PA,1432,True,True,['Comcast']
4868,953617,Apollo Ridge School District,PA,1189,True,True,['DQE Communications']
4869,953619,Armstrong School District,PA,5108,False,False,
4870,953624,Avella Area School District,PA,554,False,False,
4871,953625,Avon Grove School District,PA,4947,False,False,
4872,953626,Avonworth School District,PA,1676,False,False,
4873,953631,Bald Eagle Area School District,PA,1643,True,True,['Level 3 Communications']
4874,953633,Bangor Area School District,PA,3082,False,False,
4875,953635,Bedford Area School District,PA,1794,False,False,
4876,953638,Bellefonte Area School District,PA,2664,False,False,
4877,953639,Bellwood Antis School District,PA,1278,True,False,
4878,953641,Bentworth School District,PA,1115,False,False,
4879,953643,Benton Area School District,PA,659,True,True,['PenTeleData Limited Partnership I']
4880,953645,Bermudian Springs School District,PA,1989,False,False,
4881,953646,Berwick Area School District,PA,2845,True,True,['Atlantic Broadband']
4882,953652,Blackhawk School District,PA,2118,False,False,
4883,953656,Bloomsburg Area School District,PA,1556,True,True,['PenTeleData Limited Partnership I']
4884,953657,Blue Mountain School District,PA,2651,False,False,
4885,953658,Blue Ridge School District,PA,1017,False,False,
4886,953660,Bradford Area School District,PA,2573,False,False,
4887,953661,Brandywine Hts Area School District,PA,1758,False,False,
4888,953665,Brentwood Boro School District,PA,1214,False,False,
4889,953666,Bristol Borough School District,PA,1265,True,False,
4890,953673,Brookville Area School District,PA,1482,False,False,
4891,953674,Burgettstown Area School District,PA,1142,True,True,['Verizon']
4892,953676,Butler Area School District,PA,6486,False,False,
4893,953678,Cambria Heights School District,PA,1390,False,False,
4894,953684,Carbondale Area School District,PA,1625,False,False,
4895,953685,Carlisle Area School District,PA,4993,False,False,
4896,953687,Carlynton School District,PA,1375,False,False,
4897,953688,Carmichaels Area School District,PA,1084,False,False,
4898,953689,Catasauqua Area School District,PA,1525,False,False,
4899,953691,Central Bucks School District,PA,18367,False,False,
4900,953692,Central Cambria School District,PA,1627,False,False,
4901,953693,Central Columbia School District,PA,1808,True,True,['PenTeleData Limited Partnership I']
4902,953694,Central Dauphin School District,PA,11382,False,False,
4903,953695,Central Greene School District,PA,1767,True,False,
4904,953696,Crestwood School District,PA,2810,False,False,
4905,953697,Central York School District,PA,5751,True,True,['Comcast']
4906,953698,Chambersburg Area School District,PA,9282,False,False,
4907,953699,Charleroi Area School District,PA,1519,True,True,['Verizon']
4908,953700,Chartiers Valley School District,PA,3288,True,False,
4909,953701,Chartiers Houston School District,PA,1107,True,True,['Verizon']
