,state_code,funding_year,districts_meeting_2018_goal_oversub,districts_not_meeting_2018_goal_oversub,pct_districts_meeting_1mbps,increase_pct_dist_meeting_1mbps,max_year_pct_increase,students_meeting_2018_goal_oversub,students_not_meeting_2018_goal_oversub,pct_students_meeting_1mbps,median_ia_bandwidth_per_student_kbps,median_ia_monthly_cost_per_mbps,districts_population,students_population,pct_rural,pct_small,med_pct_of_meeting_goal,procurement_pattern,active_initiative
100,MD,2015,1.04347826086956521736,22.95652173913043478264,0.04347826086956521739,,0.03571428571428571428,51444.84258091007503435938,759728.15741908992496564062,0.06342030933094429306,76.6283524904214559,3.0092903512435247713776,24,811173,0.45833333333333333333,0E-20,0.07662835249042145590,District-procured,False
101,MD,2016,1.14285714285714285720,22.85714285714285714280,0.04761904761904761905,0.00414078674948240166,0.03571428571428571428,74699.34221290129929911928,757852.65778709870070088072,0.08972333525461628739,100.0682283375028428,2.9699209523809523809524,24,832552,0.41666666666666666667,0E-20,0.10006822833750284280,District-procured,False
102,MD,2017,1.14285714285714285720,22.85714285714285714280,0.04761904761904761905,0E-20,0.03571428571428571428,73341.95834014567852791549,763841.04165985432147208451,0.08760564696147160003,168.7059851757231457,2.3914440794172261105556,24,837183,0.41666666666666666667,0E-20,0.16870598517572314570,District-procured,False
103,MD,2018,1.99999999999999999992,22.00000000000000000008,0.08333333333333333333,0.03571428571428571428,0.03571428571428571428,184744.99999999999999885364,699651.00000000000000114636,0.20889397961998923559,169.7366247635574706,1.91666666666666666667,24,884396,0.41666666666666666667,0E-20,0.16973662476355747060,District-procured,False
104,MD,2019,1.99999999999999999992,22.00000000000000000008,0.08333333333333333333,0E-20,0.03571428571428571428,238646.00000000000000375604,640752.99999999999999624396,0.27137397245164026796,237.0691135312258214,1.19772321428571428572,24,879399,0.41666666666666666667,0E-20,0.23706911353122582140,District-procured,False
105,ME,2015,79.41176470588235294175,95.58823529411764705825,0.45378151260504201681,,0.08902961445334326690,15719.91699098559691299042,158522.08300901440308700958,0.09021887369856634401,909.0909090909090909,3.3152436200168572725061,175,174242,0.86857142857142857143,0.75428571428571428571,0.90909090909090909090,State Procured,False
106,ME,2016,95.12408759124087591155,85.87591240875912408845,0.52554744525547445255,0.07176593265043243574,0.08902961445334326690,33419.61031043575885794907,138013.38968956424114205093,0.19494269079136314979,1039.5010395010395010,1.6096275388554397861917,181,171433,0.87292817679558011050,0.78453038674033149171,1.03950103950103950000,State Procured,False
107,ME,2017,104.03389830508474576350,81.96610169491525423650,0.55932203389830508475,0.03377458864283063220,0.08902961445334326690,40315.70313372857837951740,130766.29686627142162048260,0.23565134341268268070,1075.2688172043010753,1.452940271283646025548,186,171082,0.87096774193548387097,0.82258064516129032258,1.07526881720430110000,State Procured,False
108,ME,2018,118.64835164835164835195,64.35164835164835164805,0.64835164835164835165,0.08902961445334326690,0.08902961445334326690,65299.73757308678245295124,108422.26242691321754704876,0.37588640225812955442,1583.8127674690437960,0.9476463293605678625517,183,173722,0.86885245901639344262,0.83606557377049180328,1.58381276746904382,State Procured,False
109,ME,2019,118.29281767955801104938,64.70718232044198895062,0.64640883977900552486,-0.00194280857264282679,0.08902961445334326690,61905.92988929889298857120,111674.07011070110701142880,0.35664206642066420664,1557.0260801868431296,0.8985107099786430244880,183,173580,0.86885245901639344262,0.83606557377049180328,1.55702608018684313000,State Procured,False
