funding_year,state_code,district_id,num_students,ia_bw_mbps_total,ia_monthly_cost_total,ia_bandwidth_per_student_kbps,projected_bw_fy2018,deal,total_circuits,total_bw,total_cost,total_li,bw_rank,best_deal
2019,MA,911224,1466,500.0,1543.9,341.06412005457025,1466.0,Deal 1,1.0,1000.0,1385.0,1.0,1.0,True
2019,MA,911227,559,200.0,888.0,357.78175313059035,559.0,Deal 1,1.0,200.0,888.0,1.0,1.0,False
2019,MA,911230,2496,500.0,555.06,200.32051282051282,2496.0,Deal 1,1.0,500.0,458.0,1.0,1.0,False
2019,MA,911245,1239,1000.0,996.26,807.1025020177563,1239.0,Deal 1,1.0,940.0,638.0,1.0,1.0,False
2019,MA,911248,1713,300.0,2000.0,175.13134851138355,1713.0,Deal 1,1.0,1000.0,1655.0,1.0,1.0,True
2019,MA,911257,5487,1000.0,3685.0,182.2489520685256,4663.95,Deal 1,2.0,2500.0,3490.0,2.0,1.0,True
2019,MA,911261,129,100.0,800.0,775.1937984496124,129.0,Deal 1,1.0,100.0,800.0,1.0,1.0,False
2019,MA,911264,635,100.0,1173.8904899135446,157.48031496062993,635.0,Deal 2,2.0,520.0,1150.0,2.0,1.0,True
2019,MA,911273,59,20.0,339.95,338.9830508474576,59.0,Deal 1,1.0,20.0,340.0,1.0,1.0,False
2019,MA,911277,49,10.0,199.95,204.08163265306123,49.0,Deal 1,1.0,10.0,200.0,1.0,1.0,False
2019,MA,911278,3001,1000.0,2298.03,333.2222592469177,2550.85,Deal 1,1.0,2000.0,2279.0,1.0,1.0,True
2019,MA,911283,5959,3000.0,1600.0,503.44017452592715,5065.15,Deal 1,1.0,500.0,1432.0,1.0,1.0,False
2019,MA,911290,520,100.0,118.99,192.30769230769232,520.0,Deal 1,1.0,100.0,119.0,1.0,1.0,False
2019,MA,911301,917,50.0,881.8477393617021,54.525627044711015,917.0,Deal 2,1.0,500.0,840.0,1.0,1.0,True
2019,MA,911302,2803,500.0,1132.78,178.38030681412772,2803.0,Deal 1,2.0,1440.0,1096.0,2.0,1.0,True
2019,MA,911305,1448,300.0,2490.0,207.18232044198896,1448.0,Deal 1,3.0,1100.0,2427.0,2.0,1.0,True
2019,MA,911311,7676,1000.0,2975.0,130.27618551328817,6524.6,Deal 1,4.0,5000.0,2909.0,2.0,1.0,True
2019,MA,911318,1713,1240.0,1041.26,723.8762405137186,1713.0,Deal 1,2.0,1240.0,1021.0,2.0,1.0,False
2019,MA,911320,1789,200.0,2293.0,111.79429849077697,1789.0,Deal 1,2.0,1050.0,2041.0,2.0,1.0,True
2019,MA,911322,3538,800.0,1061.26,226.11644997173545,3007.3,Deal 1,2.0,1240.0,1021.0,2.0,1.0,True
2019,MA,911323,164,50.0,287.5585106382979,304.8780487804878,164.0,,,,,,,False
2019,MA,911331,2646,2075.056,563.92,784.2237339380197,2646.0,Deal 1,3.0,2300.0,540.0,2.0,1.0,True
2019,MA,911332,1854,150.0,1460.0,80.90614886731392,1854.0,Deal 1,1.0,500.0,1432.0,1.0,1.0,True
2019,MA,911336,915,200.0,1266.53,218.5792349726776,915.0,Deal 1,1.0,200.0,888.0,1.0,1.0,False
2019,MA,911339,321,75.0,184.85,233.6448598130841,321.0,Deal 1,5.0,300.0,165.0,2.0,1.0,True
2019,MA,911341,3805,800.0,1134.76,210.2496714848883,3234.25,Deal 1,2.0,1440.0,1096.0,2.0,1.0,True
2019,MA,911342,5368,1000.0,1618.0,186.28912071535024,4562.8,Deal 3,8.0,4300.0,1544.0,2.0,1.0,True
2019,MA,911344,130,50.0,19.95,384.61538461538464,130.0,Deal 1,1.0,50.0,15.0,1.0,1.0,False
2019,MA,911345,2154,1440.0,1160.03,668.5236768802229,2154.0,Deal 1,2.0,1440.0,1096.0,2.0,1.0,False
2019,MA,911347,3120,1000.0,519.98,320.5128205128205,2652.0,Deal 1,3.0,2150.0,519.0,2.0,1.0,True
2019,MD,915448,5705,900.0,4296.6,157.75635407537249,4849.25,Deal 1,3.0,3000.0,3894.0,1.0,1.0,True
2019,MD,915455,3833,450.0,1328.0,117.4015131750587,3258.05,Deal 1,1.0,300.0,804.0,1.0,1.0,False
2019,MD,915458,2001,1050.0,316.83,524.7376311844077,1700.85,,,,,,,False
2019,MD,915464,18067,5000.0,191.84,276.74766148226047,12646.9,Deal 1,1.0,5000.0,192.0,1.0,1.0,False
2019,MD,915465,4593,200.0,3395.33,43.54452427607228,3904.05,Deal 1,2.0,2000.0,2596.0,1.0,1.0,True
2019,MD,915466,22936,7000.0,7273.77,305.197070108127,16055.2,Deal 1,1.0,7000.0,7274.0,1.0,1.0,False
2019,MI,919138,4080,1000.0,603.9347948285554,245.09803921568627,3468.0,,,,,,,False
2019,MI,919148,3743,2000.0,754.2084085372402,534.3307507347048,3743.0,Deal 2,1.0,500.0,720.0,1.0,1.0,False
2019,MI,919475,2895,1000.0,693.8413371685417,345.4231433506045,2460.75,,,,,,,False
2019,MI,919484,3782,2000.0,754.8256401517078,528.8207297726071,3214.7,Deal 1,1.0,500.0,720.0,1.0,1.0,False
2019,MI,919487,1462,1000.0,133.8299847409758,683.9945280437756,1462.0,,,,,,,False
2019,MI,919489,5761,1000.0,1091.3322185721092,173.58097552508247,4896.85,,,,,,,False
2019,MI,919490,17209,10000.0,4544.595782565993,581.0912894415712,12046.3,,,,,,,False
2019,MI,919492,1838,1000.0,348.1806314416832,544.069640914037,1838.0,,,,,,,False
2019,MI,919502,511,500.0,1300.0,978.4735812133073,511.0,Deal 1,1.0,500.0,720.0,1.0,1.0,False
2019,MI,919503,1221,1200.0,2180.7690912234825,982.8009828009828,1221.0,Deal 1,2.0,500.0,1704.0,1.0,1.0,False
2019,MI,919504,2504,1000.0,603.0517747858017,399.36102236421726,2504.0,,,,,,,False
2019,MI,919506,413,50.0,320.0,121.06537530266344,413.0,Deal 1,1.0,50.0,320.0,1.0,1.0,False
2019,MI,919510,7851,1000.0,1890.7985159118728,127.37230925996688,6673.35,,,,,,,False
2019,MI,919511,703,80.0,582.0,113.79800853485064,703.0,Deal 1,1.0,140.0,521.0,1.0,1.0,True
2019,MI,919515,4395,1000.0,651.0308156573717,227.53128555176337,4395.0,,,,,,,False
2019,MI,919523,2232,1000.0,1808.0,448.02867383512546,1897.2,Deal 1,4.0,1200.0,1624.0,1.0,1.0,True
2019,MI,919524,1256,1050.0,514.9729554272678,835.9872611464968,1067.6,Deal 1,1.0,1000.0,260.0,1.0,1.0,False
2019,MI,919528,1753,1000.0,965.6035414067338,570.4506560182544,1753.0,Deal 1,1.0,500.0,720.0,1.0,1.0,False
2019,MI,919535,1200,1000.0,177.75585410440183,833.3333333333334,1200.0,,,,,,,False
2019,MI,919537,1179,1100.0,2938.300077022942,932.9940627650551,1179.0,Deal 2,2.0,600.0,2353.0,2.0,1.0,False
2019,MI,919540,172,100.0,64.98,581.3953488372093,172.0,Deal 1,1.0,100.0,55.0,1.0,1.0,False
2019,MI,919542,1367,500.0,1354.92,365.764447695684,1367.0,Deal 3,3.0,900.0,1218.0,1.0,1.0,True
2019,MI,919543,695,140.0,533.0,201.4388489208633,695.0,Deal 1,1.0,140.0,521.0,1.0,1.0,False
2019,MI,919544,1805,1000.0,5548.092761780104,554.016620498615,1805.0,,,,,,,False
2019,MI,919546,898,200.0,1100.0,222.71714922048997,898.0,Deal 1,2.0,600.0,812.0,1.0,1.0,True
2019,MI,919547,5988,2000.0,949.7687924982619,334.001336005344,5089.8,Deal 1,1.0,500.0,720.0,1.0,1.0,False
2019,MI,919550,1081,1000.0,160.01311598276186,925.0693802035153,1081.0,,,,,,,False
2019,MI,919551,1320,1000.0,473.1981320880587,757.5757575757576,1320.0,,,,,,,False
2019,MI,919553,1861,1000.0,547.6730265262635,537.345513164965,1861.0,,,,,,,False
2019,MI,919569,220,60.0,774.0,272.72727272727275,220.0,Deal 1,1.0,140.0,521.0,1.0,1.0,True
2019,MI,919572,897,300.0,787.5,334.44816053511704,897.0,Deal 1,1.0,300.0,788.0,1.0,1.0,False
2019,MI,919578,2583,2000.0,489.3093422273491,774.2934572202865,2195.55,,,,,,,False
2019,MI,919588,1445,1000.0,642.6525303484156,692.0415224913495,1445.0,,,,,,,False
2019,MI,919590,16332,1000.0,3093.8444356395917,61.22948812147931,11432.4,,,,,,,False
2019,MI,919598,1037,1000.0,153.61068392188724,964.3201542912246,1037.0,,,,,,,False
2019,MI,919599,1870,1000.0,354.24253579757755,534.75935828877,1589.5,,,,,,,False
2019,MI,919610,1954,500.0,2330.0,255.88536335721597,1954.0,Deal 1,1.0,1000.0,1679.0,1.0,1.0,True
2019,MI,919624,20635,10000.0,5949.225625434572,484.613520717228,14444.5,Deal 1,4.0,3500.0,5757.0,2.0,1.0,False
2019,MI,919625,2589,2000.0,735.9446833296594,772.4990343762071,2589.0,Deal 2,1.0,500.0,720.0,1.0,1.0,False
2019,MI,919635,1568,1000.0,232.26764936308504,637.7551020408164,1568.0,,,,,,,False
2019,MI,919638,2924,1000.0,553.9065105198486,341.9972640218878,2485.4,,,,,,,False
2019,MI,919639,2925,1200.0,4635.08,410.2564102564103,2925.0,Deal 3,3.0,2500.0,4078.0,2.0,1.0,True
2019,MI,919647,1131,1000.0,816.4003000904531,884.1732979664014,1131.0,Deal 1,1.0,500.0,720.0,1.0,1.0,False
2019,MI,919650,1323,1000.0,1557.8634452089498,755.8578987150415,1323.0,,,,,,,False
2019,MI,919655,1711,1000.0,412.06932374541003,584.4535359438925,1711.0,Deal 1,1.0,1000.0,260.0,1.0,1.0,False
2019,MI,919664,2534,1000.0,480.02705118238583,394.6329913180742,2534.0,,,,,,,False
2019,MI,919668,9850,1000.0,2822.85,101.5228426395939,6895.0,Deal 1,2.0,1500.0,2399.0,2.0,1.0,True
2019,MI,919675,5063,1000.0,959.1069298091631,197.51135690302192,4303.55,,,,,,,False
2019,MI,919676,1906,1000.0,847.6787009301593,524.6589716684156,1906.0,,,,,,,False
2019,MI,919678,2132,1000.0,1046.139980317016,469.04315196998124,2132.0,,,,,,,False
2019,MI,919679,2708,1000.0,848.4163750919797,369.2762186115214,2301.8,,,,,,,False
2019,MI,919680,742,140.0,533.0,188.67924528301887,742.0,Deal 1,1.0,140.0,521.0,1.0,1.0,False
2019,MI,919685,266,125.0,10459.879382602487,469.9248120300752,266.0,,,,,,,False
2019,MI,919688,1028,1000.0,94.10206861403769,972.7626459143969,1028.0,,,,,,,False
2019,MI,919689,3503,2000.0,750.4100601405163,570.9391949757351,2977.55,Deal 1,1.0,500.0,720.0,1.0,1.0,False
2019,MI,919699,2165,1000.0,2330.43,461.8937644341801,2165.0,Deal 2,1.0,1000.0,1679.0,1.0,1.0,False
2019,MI,919702,6016,5000.0,1386.140541090835,831.1170212765958,5113.6,Deal 1,2.0,280.0,1042.0,1.0,1.0,False
2019,MI,919705,5580,1000.0,2121.63,179.21146953405017,4743.0,Deal 1,1.0,1000.0,1679.0,1.0,1.0,False
2019,MI,919708,1268,1000.0,454.55699355125637,788.6435331230284,1268.0,,,,,,,False
2019,MI,919715,2944,2000.0,1745.5930736664802,679.3478260869565,2502.4,Deal 1,1.0,1000.0,1679.0,1.0,1.0,False
2019,MI,919717,1136,1000.0,407.23718034245053,880.2816901408451,1136.0,,,,,,,False
2019,MI,919719,2784,1000.0,412.09668353007305,359.1954022988506,2784.0,,,,,,,False
2019,MI,919724,5511,2000.0,942.2195750597731,362.91054255126113,4684.35,Deal 1,1.0,500.0,720.0,1.0,1.0,False
2019,MI,919733,1324,1000.0,474.6320658216589,755.2870090634441,1324.0,,,,,,,False
2019,MI,919736,5504,4000.0,869.955518603201,726.7441860465116,4678.4,,,,,,,False
2019,MI,919738,1069,1000.0,158.23683717444257,935.4536950420954,1069.0,,,,,,,False
2019,MI,919743,6582,5000.0,1516.5520348171337,759.6475235490732,5594.7,Deal 1,4.0,4000.0,1040.0,1.0,1.0,False
2019,MI,919744,2554,2000.0,714.5407575218038,783.0853563038371,2554.0,Deal 1,2.0,2000.0,520.0,1.0,1.0,False
2019,MI,919746,1468,1000.0,217.45466152105155,681.1989100817439,1468.0,,,,,,,False
2019,MI,919748,2053,1000.0,2417.4555200407967,487.0920603994155,2053.0,,,,,,,False
2019,MI,919751,2961,300.0,2135.1147082504085,101.31712259371834,2516.85,,,,,,,False
2019,MI,919757,4943,1000.0,1771.98361129642,202.30629172567268,4201.55,,,,,,,False
2019,MI,919758,1739,1000.0,257.5978585729623,575.0431282346176,1739.0,,,,,,,False
2019,MI,919760,719,100.0,772.5772501771793,139.08205841446454,719.0,Deal 1,1.0,140.0,521.0,1.0,1.0,True
2019,MI,919761,1491,1000.0,534.4987991994664,670.690811535882,1491.0,,,,,,,False
2019,MI,919762,12525,1000.0,3006.6311295665564,79.84031936127745,8767.5,Deal 1,4.0,1000.0,2464.0,1.0,1.0,False
2019,MI,919770,8858,1000.0,3784.0,112.89230074508919,6200.6,Deal 1,2.0,2000.0,3358.0,1.0,1.0,True
2019,MI,919771,1454,1000.0,133.09767292296772,687.757909215956,1454.0,,,,,,,False
2019,MI,919778,2805,1000.0,1061.9025454747957,356.50623885918003,2805.0,Deal 1,1.0,500.0,720.0,1.0,1.0,False
2019,MI,919779,4143,1000.0,613.2602585722316,241.3709872073377,3521.55,,,,,,,False
2019,MI,919782,4207,1000.0,796.9509882889887,237.69907297361542,3575.95,,,,,,,False
2019,MI,919787,1847,200.0,2290.0,108.28370330265295,1847.0,Deal 3,2.0,1500.0,2049.0,2.0,1.0,True
2019,MI,919789,10748,4000.0,1222.4349407607565,372.1622627465575,7523.6,,,,,,,False
2019,MI,919790,4907,1000.0,449.18176137070327,203.79050336254332,4170.95,,,,,,,False
2019,MI,919799,4824,1000.0,1076.3468027741508,207.29684908789386,4100.4,Deal 1,1.0,500.0,720.0,1.0,1.0,False
2019,MI,919804,10500,1000.0,1989.0623667778418,95.23809523809524,7350.0,,,,,,,False
2019,MI,919810,1592,1000.0,235.82276644517307,628.1407035175879,1592.0,,,,,,,False
2019,MI,919813,1486,1000.0,136.026920195,672.9475100942127,1486.0,,,,,,,False
2019,MI,919822,2976,1000.0,440.5171444631816,336.02150537634407,2529.6,,,,,,,False
2019,MI,919826,1090,1000.0,161.461567478165,917.4311926605504,1090.0,,,,,,,False
2019,MI,919829,3792,1000.0,1197.1158017358277,263.71308016877634,3792.0,Deal 1,1.0,250.0,616.0,1.0,1.0,False
2019,MI,919832,2918,1000.0,901.1815859235018,342.7004797806717,2918.0,Deal 2,2.0,600.0,812.0,1.0,1.0,False
2019,MI,919840,1393,1000.0,499.36742272626196,717.8750897343862,1393.0,,,,,,,False
2019,MI,919846,3846,1000.0,1557.0106711321068,260.01040041601664,3269.1,,,,,,,False
2019,MI,919847,5469,1500.0,2209.122305080811,274.27317608337904,4648.65,Deal 1,4.0,4000.0,1040.0,1.0,1.0,True
2019,MI,919849,1458,1000.0,456.79138658940417,685.8710562414266,1458.0,,,,,,,False
2019,MI,919860,3711,1000.0,1162.6562658664463,269.46914578280786,3154.35,,,,,,,False
2019,MI,919863,1278,1000.0,458.1418278852568,782.4726134585289,1278.0,,,,,,,False
2019,MI,919868,1030,1000.0,195.1175464553502,970.8737864077669,1030.0,,,,,,,False
2019,MI,919873,3618,2000.0,3631.3737339798663,552.791597567717,3075.3,Deal 2,2.0,2000.0,3358.0,1.0,1.0,False
2019,MI,919876,2334,1000.0,2748.3395926815488,428.4490145672665,2334.0,,,,,,,False
2019,MI,919877,7832,2000.0,2228.9527693464242,255.3626149131767,6657.2,Deal 3,2.0,1300.0,2085.0,2.0,1.0,False
2019,MI,919879,1031,1000.0,417.3889760627151,969.9321047526673,1031.0,,,,,,,False
2019,MI,919881,3349,500.0,2441.21,149.29829799940282,2846.65,Deal 1,2.0,1500.0,2399.0,2.0,1.0,True
2019,MI,919882,7375,3000.0,2460.4700809409956,406.77966101694915,6268.75,Deal 1,4.0,4000.0,1040.0,1.0,1.0,True
2019,MI,919883,3271,1000.0,1172.5993106515455,305.7169061449098,3271.0,,,,,,,False
2019,MI,919888,2016,1000.0,631.6127814569539,496.031746031746,2016.0,,,,,,,False
2019,MI,919890,1514,1000.0,224.10717631628256,660.5019815059445,1514.0,,,,,,,False
2019,MI,919891,604,100.0,746.2828094460024,165.56291390728478,604.0,Deal 1,1.0,140.0,521.0,1.0,1.0,True
2019,MI,919894,1375,1000.0,203.6785828279604,727.2727272727273,1375.0,,,,,,,False
2019,MI,919897,2184,1000.0,684.2471799117001,457.87545787545787,2184.0,,,,,,,False
2019,MI,919901,1555,80.0,562.0,51.446945337620576,1555.0,Deal 1,1.0,140.0,521.0,1.0,1.0,True
2019,MI,919907,2101,1000.0,1354.3458685205057,475.9638267491671,2101.0,Deal 1,1.0,100.0,700.0,1.0,1.0,False
2019,MI,919910,2201,1000.0,325.79913809256135,454.3389368468878,2201.0,,,,,,,False
2019,MI,919915,383,350.0,14461.029336604333,913.8381201044386,383.0,,,,,,,False
2019,MI,919918,1316,1000.0,316.93935128518973,759.8784194528876,1316.0,,,,,,,False
2019,MI,919919,1022,1000.0,1575.0770045697834,978.4735812133073,1022.0,Deal 1,2.0,1000.0,1440.0,1.0,1.0,False
2019,MI,919923,17062,2000.0,2371.020918103765,117.21955222131051,11943.4,Deal 3,2.0,1500.0,2049.0,2.0,1.0,False
2019,MI,919928,8599,1000.0,787.1436653814301,116.29259216187928,7309.15,,,,,,,False
2019,MI,919929,1998,400.0,1639.57,200.20020020020021,1998.0,Deal 1,2.0,1000.0,1440.0,1.0,1.0,True
2019,MI,919930,222,100.0,440.3142114188949,450.45045045045043,222.0,,,,,,,False
2019,MI,919936,1227,1000.0,181.62450815064642,814.9959250203749,1227.0,,,,,,,False
2019,MI,919938,1026,1000.0,321.44579056291406,974.6588693957115,1026.0,,,,,,,False
2019,MI,919945,1437,1000.0,272.2173924818818,695.8942240779402,1437.0,,,,,,,False
2019,MI,919946,2002,2000.0,2811.5645562093387,999.000999000999,2002.0,Deal 2,2.0,1500.0,2399.0,2.0,1.0,False
2019,MI,919948,2804,1000.0,995.5226626468883,356.6333808844508,2804.0,Deal 1,1.0,500.0,720.0,1.0,1.0,False
2019,MI,919949,14844,10000.0,550.1357449579781,673.6728644570197,10390.8,,,,,,,False
2019,MI,919950,7813,2000.0,5875.0,255.9836170485089,6641.05,Deal 1,5.0,6000.0,4077.0,2.0,1.0,True
2019,MI,919951,553,100.0,705.4335987146346,180.83182640144665,553.0,Deal 1,1.0,140.0,521.0,1.0,1.0,True
2019,MI,919952,5147,1000.0,975.0194287433859,194.28793471925394,4374.95,,,,,,,False
2019,MI,919954,2834,1000.0,44.85216398464834,352.85815102328866,2408.9,,,,,,,False
2019,MI,919955,4713,1000.0,892.8048509165684,212.17907914279652,4006.05,,,,,,,False
2019,MI,919958,5758,2000.0,3037.0,347.34282737061477,4894.3,Deal 3,1.0,2000.0,3037.0,1.0,1.0,False
2019,MI,919959,4846,3250.0,2155.220873403752,670.6562113082955,4119.1,,,,,,,False
2019,MI,919960,280,100.0,1691.0,357.14285714285717,280.0,Deal 1,1.0,100.0,1691.0,1.0,1.0,False
2019,MI,919973,1696,1000.0,321.2809308624019,589.622641509434,1696.0,,,,,,,False
2019,MI,919978,4040,1000.0,1044.438864678186,247.52475247524754,3434.0,Deal 1,1.0,500.0,720.0,1.0,1.0,False
2019,MI,919983,3591,1000.0,680.259329438022,278.473962684489,3052.35,,,,,,,False
2019,MI,919984,2943,140.0,521.49,47.570506286102614,2501.55,Deal 1,2.0,2000.0,520.0,1.0,1.0,True
2019,MI,919985,2992,1300.0,2227.7703342207346,434.4919786096257,2992.0,Deal 4,2.0,1300.0,2085.0,2.0,1.0,False
2019,MI,919986,1050,140.0,533.0,133.33333333333334,1050.0,Deal 1,1.0,140.0,521.0,1.0,1.0,False
2019,MI,919987,856,120.0,835.5,140.18691588785046,856.0,Deal 2,1.0,500.0,720.0,1.0,1.0,True
2019,MI,919988,1532,1000.0,368.95979192166465,652.7415143603133,1532.0,,,,,,,False
2019,MI,919991,526,100.0,857.59,190.11406844106463,526.0,Deal 2,1.0,500.0,720.0,1.0,1.0,True
2019,MI,920000,5473,2000.0,1785.6181698969585,365.43029417138683,4652.05,Deal 2,1.0,1000.0,1679.0,1.0,1.0,False
2019,MI,920001,2855,1000.0,422.910802890056,350.2626970227671,2426.75,,,,,,,False
2019,MI,920007,2531,2000.0,966.7119005560893,790.2015013828526,2531.0,Deal 1,1.0,500.0,720.0,1.0,1.0,False
2019,MI,920014,1060,1000.0,156.90462806820312,943.3962264150944,1060.0,,,,,,,False
2019,MI,920015,735,100.0,1268.33333333333,136.05442176870747,735.0,Deal 3,2.0,640.0,1241.0,2.0,1.0,True
2019,MI,920016,27607,10000.0,5229.718548536751,362.22697142029193,19324.9,,,,,,,False
2019,MI,920017,4638,2000.0,1462.3430827666898,431.22035360069,3942.3,Deal 1,2.0,1000.0,1440.0,1.0,1.0,False
2019,MI,920019,1175,1000.0,421.21803424505225,851.063829787234,1175.0,,,,,,,False
2019,MI,920020,2548,1000.0,482.6791343380896,392.4646781789639,2165.8,,,,,,,False
2019,MI,920023,568,300.0,1499.95,528.169014084507,568.0,Deal 1,1.0,500.0,1000.0,1.0,1.0,True
2019,MI,920024,2660,1000.0,638.5340362991649,375.9398496240602,2261.0,,,,,,,False
2019,MI,920027,205,200.0,470.0,975.609756097561,205.0,,,,,,,False
2019,MI,920030,14088,1000.0,2668.7533926824985,70.9823963657013,9861.6,,,,,,,False
2019,MI,920031,3173,1000.0,601.0757037891516,315.1591553734636,2697.05,,,,,,,False
2019,MI,920041,6751,1000.0,1300.0,148.12620352540364,5738.35,Deal 1,4.0,4000.0,1040.0,1.0,1.0,True
2019,MI,920042,2931,1000.0,1050.7149432955302,341.180484476288,2491.35,,,,,,,False
2019,MI,920054,287,100.0,492.37693097848125,348.4320557491289,287.0,Deal 1,1.0,25.0,451.0,1.0,1.0,False
2019,MI,920055,5149,2000.0,776.4603995613812,388.42493688094777,4376.65,Deal 1,1.0,500.0,720.0,1.0,1.0,False
2019,MI,920056,4578,2000.0,767.4234956675089,436.871996505024,3891.3,Deal 1,1.0,500.0,720.0,1.0,1.0,False
2019,MI,920057,4203,1000.0,2367.99,237.92529145848204,3572.55,Deal 1,1.0,1000.0,1679.0,1.0,1.0,False
2019,MI,920060,5956,5000.0,1372.3160011198493,839.4895903290799,5062.6,Deal 1,2.0,280.0,1042.0,1.0,1.0,False
2019,MN,922203,509,500.0,2125.5,982.3182711198428,509.0,Deal 1,1.0,500.0,2126.0,1.0,1.0,False
2019,MN,922217,995,300.0,1845.0,301.5075376884422,995.0,Deal 1,1.0,300.0,1498.0,1.0,1.0,False
