district_id,funding_year,district_type,in_universe,fit_for_ia,fit_for_ia_cost,meeting_2018_goal_oversub
881446,2017,Traditional,True,True,True,True
881446,2018,Traditional,True,True,True,True
881446,2019,Traditional,True,True,True,True
881447,2015,Traditional,True,True,True,False
881447,2016,Traditional,True,True,True,False
881447,2017,Traditional,True,True,True,False
881447,2018,Traditional,True,True,True,False
881447,2019,Traditional,True,True,True,False
881450,2015,Traditional,True,True,True,False
881450,2016,Traditional,True,True,True,False
881450,2017,Traditional,True,True,True,True
881450,2018,Traditional,True,True,True,True
881450,2019,Traditional,True,True,True,True
881451,2016,Traditional,True,True,True,False
881451,2017,Traditional,True,True,True,False
881451,2018,Traditional,True,True,True,False
881451,2019,Traditional,True,True,True,False
881452,2015,Traditional,True,True,True,False
881452,2016,Traditional,True,True,True,False
881452,2017,Traditional,True,True,True,False
881452,2018,Traditional,True,True,True,True
881452,2019,Traditional,True,True,True,False
881453,2015,Traditional,True,True,True,False
881453,2016,Traditional,True,True,True,False
881453,2017,Traditional,True,True,True,True
881453,2018,Traditional,True,True,True,True
881453,2019,Traditional,True,True,True,True
881454,2015,Traditional,True,True,True,False
881454,2016,Traditional,True,True,True,True
881454,2017,Traditional,True,True,True,True
881454,2018,Traditional,True,True,True,True
881454,2019,Traditional,True,True,True,True
881455,2015,Traditional,True,True,True,False
881455,2016,Traditional,True,True,True,False
881455,2017,Traditional,True,True,True,False
881455,2018,Traditional,True,True,True,False
881455,2019,Traditional,True,True,True,False
881456,2015,Traditional,True,True,True,False
881456,2016,Traditional,True,True,True,False
881456,2017,Traditional,True,True,True,False
881456,2018,Traditional,True,True,True,False
881456,2019,Traditional,True,True,True,True
881458,2015,Traditional,True,True,True,True
881458,2016,Traditional,True,True,True,True
881458,2017,Traditional,True,True,True,True
881458,2018,Traditional,True,True,True,True
881458,2019,Traditional,True,True,True,True
881461,2017,Traditional,True,True,True,True
881461,2018,Traditional,True,True,True,True
881461,2019,Traditional,True,True,True,True
881462,2015,Traditional,True,True,True,False
881462,2016,Traditional,True,True,True,False
881462,2017,Traditional,True,True,True,True
881462,2018,Traditional,True,True,True,True
881462,2019,Traditional,True,True,True,True
881464,2015,Traditional,True,True,True,False
881464,2016,Traditional,True,True,True,False
881464,2017,Traditional,True,True,True,True
881464,2018,Traditional,True,True,True,True
881464,2019,Traditional,True,True,True,True
881466,2015,Traditional,True,True,True,False
881466,2016,Traditional,True,True,True,False
881466,2017,Traditional,True,True,True,True
881466,2018,Traditional,True,True,True,True
881466,2019,Traditional,True,True,True,True
881468,2015,Traditional,True,True,True,False
881468,2016,Traditional,True,True,True,False
881468,2017,Traditional,True,True,True,False
881468,2018,Traditional,True,True,True,False
881468,2019,Traditional,True,True,True,False
881470,2015,Traditional,True,True,True,False
881470,2016,Traditional,True,True,True,False
881470,2017,Traditional,True,True,True,True
881470,2018,Traditional,True,True,True,True
881470,2019,Traditional,True,True,True,True
881471,2016,Traditional,True,True,True,False
881471,2017,Traditional,True,True,True,False
881471,2018,Traditional,True,True,True,False
881471,2019,Traditional,True,True,True,False
881472,2016,Traditional,True,True,True,False
881472,2017,Traditional,True,True,True,True
881472,2018,Traditional,True,True,True,True
881472,2019,Traditional,True,True,True,True
881473,2015,Traditional,True,True,True,False
881473,2016,Traditional,True,True,True,False
881473,2017,Traditional,True,True,True,False
881473,2018,Traditional,True,True,True,False
881473,2019,Traditional,True,True,True,True
881476,2017,Traditional,True,True,True,True
881476,2018,Traditional,True,True,True,True
881476,2019,Traditional,True,True,True,True
881477,2015,Traditional,True,True,True,False
881477,2016,Traditional,True,True,True,False
881477,2018,Traditional,True,True,True,False
881477,2019,Traditional,True,True,True,False
881480,2015,Traditional,True,True,True,False
881480,2016,Traditional,True,True,True,False
881480,2017,Traditional,True,True,True,False
881480,2018,Traditional,True,True,True,False
881480,2019,Traditional,True,True,True,True
881483,2015,Traditional,True,True,True,False
881483,2016,Traditional,True,True,True,False
881483,2017,Traditional,True,True,True,True
881483,2018,Traditional,True,True,True,True
881483,2019,Traditional,True,True,True,True
881485,2015,Traditional,True,True,True,False
881485,2016,Traditional,True,True,True,False
