,district_id,name,state_code,num_students,upgraded_no_total_cost_increase,ia_monthly_cost_total_17,ia_monthly_cost_total_18,total_cost_change_pct,ia_bw_mbps_total_17,ia_bw_mbps_total_18,total_bw_change_x
38,983180,Othello School District 147,WA,4310,False,4050.00000000000000000000,6750.00000000000000000000,0.66666666666666666667,100,4000,40.0000000000000000
39,953726,Connellsville Area School District,PA,5029,False,1585.0700000000000000000000,2345.4200000000000000000000,0.4796949030642179840638,400,1100,2.7500000000000000
40,953750,Downingtown Area School District,PA,12657,False,3030.2381010919482731505000000000000,3197.94359685185752437900,0.0553439994367031642214351852746,1000,2000,2.0000000000000000
41,953775,Erie's Public Schools,PA,13077,False,875.00000000000000000000,1175.00000000000000000000,0.34285714285714285714,1000,2000,2.0000000000000000
42,919624,Dearborn Public School District,MI,21026,False,4026.7823908310215629830000,5916.6426350396589404717500,0.4693226652902443339224,2000,10000,5.0000000000000000
43,953801,Franklin Regional School District,PA,3461,False,1302.97636416690983368000,1315.68449682683590209400,0.00975315670292402223,300,1000,3.3333333333333333
44,919756,Ithaca Public School District,MI,1193,False,1383.3300000000000000000000,2000.00000000000000000000,0.4457866163532924175721,100,1000,10.0000000000000000
45,919987,West Iron County School District,MI,844,False,619.500000000000000000000,835.500000000000000000000,0.348668280871670702179,80,120,1.5000000000000000
46,953852,Jeannette City School District,PA,1319,False,1115.46542165159031221800,4582.38440616500453309000,3.10804702433554046486,100,500,5.0000000000000000
47,969554,Kenedy Independent School District,TX,797,False,798.7500000000000000000000,949.447925710741913524580,0.1886671996378615505785,50,10000,200.0000000000000000
48,983293,Warden School District 146-161,WA,1007,False,2200.00000000000000000000,2690.00000000000000000000,0.22272727272727272727,100,1000,10.0000000000000000
49,969798,Northside Independent School District,TX,205,False,1731.84583155339104389488,1763.00000000000000000000,0.01798899641007017940,20,50,2.5000000000000000
50,924450,South Holt School District R 1,MO,275,False,1040.00000000000000000000,1295.00000000000000000000,0.24519230769230769231,20,100,5.0000000000000000
51,969064,Boerne Independent School District,TX,7902,False,1885.4488338287611122078400,3362.534010074963823991318,0.7834130259831561608077,640,12000,18.7500000000000000
52,928638,Somers School District 29,MT,509,False,915.00000000000000000000,1930.00000000000000000000,1.10928961748633879781,50,400,8.0000000000000000
53,969074,Bowie Independent School District,TX,1696,False,2472.09526982707907459824,2675.00000000000000000000,0.08207803827362767283,130,1100,8.4615384615384615
54,937679,Unity School District,NH,113,False,1000.00000000000000000000,1125.7400000000000000000000,0.1257400000000000000000,4.5,1000,222.2222222222222222
55,941147,Clark Township School District,NJ,2210,False,3777.3900000000000000000000,5564.9500000000000000000000,0.4732262223387047670481,100,5000,50.0000000000000000
56,882471,Santa Barbara Unified School District,CA,13954,False,3398.800000000000000000000,8080.00000000000000000000,1.377309638696010356596,1000,10000,10.0000000000000000
57,882543,Yupiit School District,AK,466,False,140729.00000000000000000000,156530.00000000000000000000,0.11227962964278862210,35,60,1.7142857142857143
58,882566,Kashunamiut School District,AK,321,False,63950.00000000000000000000,104189.00000000000000000000,0.62922595777951524629,25,50,2.0000000000000000
59,882632,Galena City School District,AK,309,False,18359.00000000000000000000,20731.00000000000000000000,0.12920093687019990196,30,51,1.7000000000000000
60,882642,Anchorage School District,AK,49017,False,15300.00000000000000000000,18850.00000000000000000000,0.23202614379084967320,3000,6000,2.0000000000000000
61,882652,Trinidad School District 1,CO,982,False,750.00000000000000000000,2100.00000000000000000000,1.80000000000000000000,60,500,8.3333333333333333
62,882765,Ballard Elem School District,CA,130,False,846.00000000000000000000,1650.2200000000000000000000,0.9506146572104018912530,1.5,500,333.3333333333333333
63,983809,Clear Lake School District,WI,614,False,450.00000000000000000000,2451.9600000000000000000000,4.4488000000000000000000,50,200,4.0000000000000000
64,883108,Chula Vista Elem School District,CA,29924,False,11000.00000000000000000000,15545.4500000000000000000000,0.4132227272727272727273,2000,12000,6.0000000000000000
65,883168,Holbrook Unified School District 3,AZ,2107,False,2065.00000000000000000000,3800.00000000000000000000,0.84019370460048426150,200,500,2.5000000000000000
66,883194,Liberty School District 25,AZ,3657,False,2405.00000000000000000000,3232.00000000000000000000,0.34386694386694386694,300,500,1.6666666666666667
67,883459,Hayward Unified School District,CA,20340,False,6667.2517222406343135641734,7733.3400000000000000000000,0.1598992091753646930921,2000,5000,2.5000000000000000
68,969214,Copperas Cove School District,TX,8173,False,2120.00000000000000000000,2489.00000000000000000000,0.17405660377358490566,600,1000,1.6666666666666667
69,883987,Taft City Elem School District,CA,2203,False,3563.375145671983788719629,4250.00000000000000000000,0.192689466098448641956,200,1000,5.0000000000000000
