,state_code,Wt Avg $/Student,% Diff from National Wt Avg $/Student,Median $/Student,Wt Avg $/Mbps,% Diff from National Wt Avg $/Mbps,% Districts meeting 1Mbps,state_network
34,DE,1.11693895346319034095,0.236519449696885608803544756467395,1.08573245602917455957,1.35980095996082239590,-0.071341470183937397851752179511459,0.41176470588235294118,True
35,AK,36.9406613799382269606133,39.895562053173180020687469196957722,118.95333333333333333333,198.3246589922799323923073,134.443268293728064732565835776658268,0.07843137254901960784,False
36,IL,1.10500859507109803662159128894641,0.223311816327187069000744347543367,1.8159280310579997746909,2.13276893156352682805339801069160,0.456547037943129177869044967150287,0.22486772486772486772,False
37,NY,0.5200920708107238993889679579401,-0.424226400917815237933133519299743,0.9649398831165641073029,1.2769309323328635033662462477177,-0.127936486873007871781195104038533,0.36128048780487804878,False
38,WI,1.05424901837098448008671250211006,0.167117873360598831413162720987853,1.8099000000000000000000,1.10406986061914080624757788271766,-0.245989726609446745969140311315448,0.53435114503816793893,True
39,WY,1.5457553163524535276919,0.711245280877529638326212497637711,2.8586288282081291866464,1.1004975029742379408064,-0.248429422194444897663154693186646,0.71739130434782608696,True
40,MD,0.2735871240851232830603519085193,-0.697122390557722614037940123853656,0.29755629473309616070,1.1038873288980652902041312594632,-0.246114384294453578239305604633602,0.08333333333333333333,False
41,NM,1.3083699541247995936313,0.448445226713684883334903375738312,3.1152027883396704689480,2.5561600868351682431382,0.745696567447075833148848595972328,0.37931034482758620690,False
42,RI,1.8223764560609178843504,1.017481730404408922316497696064851,2.0345155257443335719805,4.2653791907514450867334,1.912985712633551634955635047371676,0.08823529411764705882,True
43,KS,1.6025430924502904180527,0.774112807730528196504017039696458,2.4216796875000000000000,1.8429648839450855758460,0.258629100891636139989050938489611,0.51245551601423487544,False
44,HI,2.0636682371051066459835,1.284606428122254672930882077275971,2.0636682371051066459835,3.6299818461538461538407,1.479049290129454475215474365620006,1.00000000000000000000,True
45,AR,2.7624441008092152876189,2.058193868841185467857294105564085,2.9292315404301136454213,1.8009938733436393266744,0.229965540453234610417086550373362,0.98672566371681415929,True
46,MI,0.87484062701492598428152421952234,-0.031498142906675105971365318312796,0.56945889698231009365,0.71787107389419502184956462075393,-0.509739207641632764821873753358291,0.47704590818363273453,False
47,IA,1.2692730094206907125276,0.405162527690199262547434481967567,1.71929824561403508771,2.1563835973248856036581,0.472674369393662189252665164134612,0.23278688524590163934,True
48,FL,0.5171594727340607267362,-0.427472965601314027146332344996922,0.54050912472393351157,1.4328892386676712233687,-0.021426772776572423271720845861784,0.04615384615384615385,False
49,GA,0.499787362818549647060636,-0.446704949342410664396759695193507,0.9724610069198919933740,1.609339724794770228606319,0.099077811244932012925738493781937,0.07821229050279329609,True
50,MS,0.8155142567846294236827,-0.097176048079759913377392839709460,0.778528921802834846431,1.7415561665776828618884,0.189373325117174196650842311736341,0.15671641791044776119,True
51,SD,1.936787731616589211116786,1.144141980770437337359178757914765,3.7754003035869327679114,1.128935187511291873725489,-0.229008272267977456204905557255961,0.96598639455782312925,True
52,WA,0.68868640729040300325075415,-0.237582202038834443798930054442919,1.8264074684625005880782,1.58407745310946927288402278,0.081825268575921509419806794182080,0.34948096885813148789,True
