,district_id,state_code,rec_cost,purpose,state_network
26395,954218,PA,452.37184724226042512000,isp,False
26396,954219,PA,1885.00000000000000003770,upstream,False
26397,954219,PA,11146.6800000000000000000000,wan,False
26398,954219,PA,489.69394558554683295680,isp,False
26399,954221,PA,900.00000000000000000000,upstream,False
26400,954221,PA,13049.99999999999999995650,wan,False
26401,954221,PA,598.500000000000000083790,wan,False
26402,954221,PA,157.45823524085476276890,isp,False
26403,954224,PA,598.50000000000000004788,upstream,False
26404,954224,PA,598.500000000000000083790,wan,False
26405,954224,PA,1752.9166666666700000000000000000000,wan,False
26406,954224,PA,607.500000000000000000000,wan,False
26407,954224,PA,79.76050344078232524570,isp,False
26408,959587,RI,5550.00000000000000025900,upstream,True
26409,959587,RI,1400.00000000000000000000,isp,True
26410,959595,RI,5550.00000000000000025900,upstream,True
26411,959595,RI,196.875000000000000000000,wan,True
26412,959595,RI,1266.7500000000000000000000,isp,True
26413,959596,RI,4625.00000000000000007400,upstream,True
26414,959596,RI,979.1500000000000000000000,isp,True
26415,959596,RI,1400.00000000000000000000,isp,True
26416,959598,RI,1500.00000000000000000000,upstream,True
26417,959598,RI,867.7100000000000000000000,wan,True
26418,959598,RI,4625.00000000000000000000,wan,True
26419,959598,RI,1196.3800000000000000000000,wan,True
26420,959598,RI,500.00000000000000000000,isp,True
26421,959600,RI,925.00000000000000018500,upstream,True
26422,959600,RI,2599.99999999999999976600,upstream,True
26423,959600,RI,1407.500000000000000000000,isp,True
26424,959601,RI,1850.00000000000000037000,upstream,True
26425,959601,RI,3249.99999999999999970750,upstream,True
26426,959601,RI,1116.6700000000000000000000,isp,True
26427,959604,RI,4625.00000000000000007400,upstream,True
26428,959604,RI,11700.00000000000000013000,upstream,True
26429,959604,RI,1407.500000000000000000000,isp,True
26430,959606,RI,1850.00000000000000037000,upstream,True
26431,959606,RI,799.99999999999999992000,upstream,True
26432,959606,RI,3249.99999999999999970750,upstream,True
26433,959606,RI,2770.8100000000000000000000,isp,True
26434,959607,RI,2000.00000000000000000500,upstream,True
26435,959607,RI,1400.00000000000000000000,isp,True
26436,959608,RI,1400.00000000000000000000,upstream,True
