funding_year,state_code,district_id,num_students,old_total_bw,old_total_cost,old_bw_per_student,projected_bw_fy2018,deal,total_circuits,new_total_bw,new_total_cost,total_li,bw_rank,best_deal,new_bw_per_student,total_bw_change,total_bw_percent_change
2019,CA,883354,34940,10000.0,5082.290416298225,286.20492272467084,24458.0,Deal 3,3.0,12150.0,4820.0,3.0,1.0,True,347.7389811104751,2150.0,0.215
2019,AZ,883363,15767,2000.0,3573.0,126.8472125325046,11036.9,Deal 1,1.0,5000.0,3090.0,1.0,1.0,True,317.1180313312615,3000.0,1.5
2019,AZ,883367,2104,1000.0,1555.0,475.2851711026616,2104.0,Deal 1,1.0,2000.0,1150.0,1.0,1.0,True,950.5703422053232,1000.0,1.0
2019,CA,883368,13498,10000.0,1834.999298234384,740.8504963698325,11473.3,Deal 1,2.0,10500.0,1806.0,2.0,1.0,True,777.8930211883242,500.0,0.05
2019,AZ,883390,47102,10000.0,4200.0,212.30520996985265,18840.8,Deal 1,2.0,12000.0,4166.0,2.0,1.0,True,254.76625196382318,2000.0,0.2
2019,CA,883397,476,250.0,589.35,525.2100840336135,476.0,Deal 1,2.0,260.0,575.0,2.0,1.0,True,546.218487394958,10.0,0.04
2019,AZ,883401,23306,2000.0,1860.0,85.81481163648846,16314.2,Deal 1,2.0,3000.0,1635.0,2.0,1.0,True,128.7222174547327,1000.0,0.5
2019,AZ,883413,639,200.0,1205.21,312.98904538341156,639.0,Deal 1,1.0,300.0,900.0,1.0,1.0,True,469.4835680751174,100.0,0.5
2019,CA,883473,2365,1000.0,1063.75,422.8329809725159,2365.0,Deal 1,2.0,1003.0,1030.0,2.0,1.0,True,424.1014799154334,3.0,0.003
2019,CA,883541,309,100.0,460.0,323.62459546925567,309.0,Deal 1,2.0,253.0,419.0,2.0,1.0,True,818.7702265372168,153.0,1.53
2019,CA,883547,1256,250.0,600.2001948623815,199.04458598726114,1256.0,Deal 1,2.0,260.0,575.0,2.0,1.0,True,207.0063694267516,10.0,0.04
2019,CA,883575,3018,1000.0,1800.0,331.3452617627568,3018.0,Deal 1,2.0,1050.0,1790.0,2.0,1.0,True,347.9125248508946,50.0,0.05
2019,CA,883800,25597,10000.0,1582.6802887024394,390.6707817322342,17917.9,Deal 1,3.0,10253.0,1533.0,3.0,1.0,True,400.55475251005976,253.0,0.0253
2019,CA,883861,2833,1000.0,1058.83,352.98270384751146,2833.0,Deal 2,2.0,1003.0,1030.0,2.0,1.0,True,354.041651959054,3.0,0.003
2019,CA,884078,33352,10000.0,1417.5069339689712,299.8320940273447,23346.4,Deal 1,2.0,10010.0,1375.0,2.0,1.0,True,300.13192612137203,10.0,0.001
2019,FL,888978,3195,1000.0,1999.0,312.98904538341156,2715.75,Deal 1,2.0,1050.0,1795.0,2.0,1.0,True,328.63849765258215,50.0,0.05
2019,FL,888981,2147,1000.0,3650.0,465.76618537494176,2147.0,Deal 1,1.0,2000.0,2589.0,1.0,1.0,True,931.5323707498835,1000.0,1.0
2019,FL,888983,15328,5000.0,5700.0,326.2004175365345,10729.6,Deal 1,2.0,10350.0,5533.0,2.0,1.0,True,675.2348643006263,5350.0,1.07
2019,FL,888986,9596,1000.0,3220.4,104.21008753647354,8156.6,Deal 1,1.0,2000.0,2589.0,1.0,1.0,True,208.42017507294707,1000.0,1.0
