,line_item_id,state_code,size,funding_year,li_monthly_cost,bandwidth_received,rec_cost_per_meg,service_provider_id,state_network,parent_name,cost_tier,num_lines
78,34294,TX,Tiny,2015,4740.00,60,79.0000000000000000,38141,False,Education Service Center Region 17,Low,1
79,34332,TX,Small,2015,1000.00,100,10.0000000000000000,43926,False,ESC7Net,Low,1
80,34406,TX,Small,2015,3109.33,100,31.0933000000000000,41937,False,Region 18 Education Service Center,Low,1
81,34407,TX,Small,2015,4050.00,50,81.0000000000000000,38141,False,Education Service Center Region 17,Low,1
82,34551,TX,Tiny,2015,750.00,15,50.0000000000000000,41347,False,Central Texas Communications,Low,1
83,34556,TX,Medium,2015,8117.00,500,16.2340000000000000,41937,False,Region 18 Education Service Center,Low,1
84,34561,TX,Small,2015,3321.00,41,81.0000000000000000,38141,False,Education Service Center Region 17,Low,1
85,34651,TX,Small,2015,1000.00,50,20.0000000000000000,43926,False,ESC7Net,Low,1
86,34654,TX,Small,2015,1300.00,30,43.3333333333333333,40345,False,Region 9 Education Service Center,Low,1
87,34660,TX,Small,2015,6000.00,80,75.0000000000000000,38141,False,Education Service Center Region 17,Low,1
88,34665,TX,Tiny,2015,2125.00,25,85.0000000000000000,38141,False,Education Service Center Region 17,Low,1
89,34686,TX,Tiny,2015,4050.00,50,81.0000000000000000,38141,False,Education Service Center Region 17,Low,1
90,34989,TX,Small,2015,7500.00,100,75.0000000000000000,38141,False,Education Service Center Region 17,Low,1
91,34998,TX,Tiny,2015,850.00,50,17.0000000000000000,43926,False,ESC7Net,Low,1
92,35014,TX,Small,2015,500.00,10,50.0000000000000000,41347,False,Central Texas Communications,Low,1
93,35059,TX,Small,2015,6000.00,80,75.0000000000000000,38141,False,Education Service Center Region 17,Low,1
94,35066,TX,Small,2015,3069.33,100,30.6933000000000000,41937,False,Region 18 Education Service Center,Low,1
95,35172,TX,Small,2015,2712.79,120,22.6065833333333333,38988,False,Education Service Center Region 2,Low,1
96,35288,TX,Tiny,2015,2888.66,100,28.8866000000000000,41937,False,Region 18 Education Service Center,Low,1
97,35326,TX,Small,2015,700.00,100,7.0000000000000000,40345,False,Region 9 Education Service Center,Low,1
98,35487,TX,Small,2015,2905.00,35,83.0000000000000000,38141,False,Education Service Center Region 17,Low,1
99,35502,TX,Small,2015,4029.00,51,79.0000000000000000,38141,False,Education Service Center Region 17,Low,1
100,35840,TX,Small,2015,5850.00,1000,5.8500000000000000,37165,False,Education Service Center Region One,Low,1
101,35872,TX,Small,2015,2000.00,40,50.0000000000000000,41347,False,Central Texas Communications,Low,1
102,35921,TX,Small,2015,1740.00,20,87.0000000000000000,38141,False,Education Service Center Region 17,Low,1
103,35969,TX,Tiny,2015,4050.00,80,50.6250000000000000,38141,False,Education Service Center Region 17,Low,1
104,36044,TX,Small,2015,5325.00,71,75.0000000000000000,38141,False,Education Service Center Region 17,Low,1
105,36090,TX,Small,2015,3800.00,200,19.0000000000000000,41937,False,Region 18 Education Service Center,Low,1
106,36155,TX,Small,2015,2550.00,30,85.0000000000000000,38141,False,Education Service Center Region 17,Low,1
107,36184,TX,Small,2015,2702.06,100,27.0206000000000000,41248,False,Edu-Net,Low,1
108,36346,TX,Small,2015,1146.80,20,57.3400000000000000,42544,False,Region IV Education Service Center,Low,1
109,36350,TX,Small,2015,4050.00,50,81.0000000000000000,38141,False,Education Service Center Region 17,Low,1
110,36359,TX,Small,2015,5125.33,200,25.6266500000000000,41937,False,Region 18 Education Service Center,Low,1
111,36400,TX,Small,2015,3320.00,40,83.0000000000000000,38141,False,Education Service Center Region 17,Low,1
112,36425,TX,Tiny,2015,2125.00,25,85.0000000000000000,38141,False,Education Service Center Region 17,Low,1
113,36435,TX,Small,2015,890.00,10,89.0000000000000000,38141,False,Education Service Center Region 17,Low,1
114,36439,TX,Small,2015,4050.00,50,81.0000000000000000,38141,False,Education Service Center Region 17,Low,1
115,36460,TX,Tiny,2015,4050.00,50,81.0000000000000000,38141,False,Education Service Center Region 17,Low,1
116,36580,TX,Tiny,2015,900.00,15,60.0000000000000000,40345,False,Region 9 Education Service Center,Low,1
117,36607,TX,Small,2015,3500.00,100,35.0000000000000000,40345,False,Region 9 Education Service Center,Low,1
118,36661,TX,Small,2015,7177.00,300,23.9233333333333333,41937,False,Region 18 Education Service Center,Low,1
119,36717,TX,Tiny,2015,1305.00,15,87.0000000000000000,38141,False,Education Service Center Region 17,Low,1
120,36725,TX,Small,2015,6000.00,80,75.0000000000000000,38141,False,Education Service Center Region 17,Low,1
121,36880,TX,Medium,2015,5805.00,45,129.0000000000000000,43874,False,"Education Service Center, Region 20",Low,1
122,37000,TX,Tiny,2015,2976.25,100,29.7625000000000000,41937,False,Region 18 Education Service Center,Low,1
123,37022,TX,Small,2015,6334.00,100,63.3400000000000000,41937,False,Region 18 Education Service Center,Low,1
124,37025,TX,Small,2015,3284.00,90,36.4888888888888889,38989,False,Texas A&M Univ. Trans-Texas Videoconference Network,Low,1
125,37191,TX,Tiny,2015,700.00,20,35.0000000000000000,40345,False,Region 9 Education Service Center,Low,1
126,37217,TX,Small,2015,5176.00,100,51.7600000000000000,41937,False,Region 18 Education Service Center,Low,1
127,37256,TX,Small,2015,6792.00,300,22.6400000000000000,41937,False,Region 18 Education Service Center,Low,1
128,37672,VA,Small,2015,2310.00,500,4.6200000000000000,42867,False,LUMOS Networks,High,1
129,38067,VT,Medium,2015,642.43,1000,0.64243000000000000000,38813,False,Telephone Operating,Low,1
130,38073,VT,Medium,2015,1855.11,1000,1.8551100000000000,38813,False,Telephone Operating,Low,1
131,38624,WI,Small,2015,583.34,200,2.9167000000000000,39948,True,WiscNet,Low,1
132,38627,WI,Small,2015,625.00,100,6.2500000000000000,39948,True,WiscNet,Low,1
133,38648,WI,Tiny,2015,583.34,100,5.8334000000000000,39948,True,WiscNet,Low,1
134,38662,WI,Small,2015,500.00,100,5.0000000000000000,37053,True,Infinity Technology,Low,1
135,38676,WI,Small,2015,583.34,26,22.4361538461538462,39948,True,WiscNet,Low,1
