state_code,year,num_students,num_students_meeting,pct_students_meeting,pct_students_meeting_rounded,num_students_formatted,num_students_meeting_rounded,num_students_meeting_rounded_formatted
NY,2023,2523659.0,1107492.0,43.88437582098057,44.0,2.5M,1107492.0,1.1M
OH,2023,1571595.0,1337381.0,85.09705108504417,85.0,1.6M,1337381.0,1.3M
OK,2023,666512.0,638108.0,95.73841131142426,96.0,667k,638108.0,638k
OR,2023,544853.0,419032.0,76.90734932174367,77.0,545k,419032.0,419k
PA,2023,1572853.0,1321986.0,84.05019413765939,84.0,1.6M,1321986.0,1.3M
TN,2023,979563.0,944152.0,96.38502066737922,96.0,980k,944152.0,944k
TX,2023,5058774.0,4351983.0,86.02841320841769,86.0,5.1M,4351983.0,4.4M
VA,2023,1278668.0,1220419.0,95.44455636646886,95.0,1.3M,1220419.0,1.2M
VT,2023,83878.0,79999.0,95.37542621426357,95.0,84k,79999.0,80k
WI,2023,824564.0,768426.0,93.19179590668523,93.0,825k,768426.0,768k
AK,2019,122267.0,383.0,0.31324887336730267,0.0,122k,383.0,0k
AL,2019,735819.0,26138.0,3.5522322745131616,4.0,736k,26138.0,26k
AR,2019,473462.0,468729.0,99.0003421605113,99.0,473k,468729.0,469k
AZ,2019,927230.0,147978.0,15.959147137172005,16.0,927k,147978.0,148k
CA,2019,5722099.0,2111080.0,36.893454657110965,37.0,5.7M,2111080.0,2.1M
CO,2019,791136.0,59173.0,7.4794978360231354,7.0,791k,59173.0,59k
CT,2019,486495.0,133645.0,27.470991479871326,27.0,486k,133645.0,134k
DE,2019,112978.0,40301.0,35.67154667280356,36.0,113k,40301.0,40k
FL,2019,2530242.0,472957.0,18.69216462298863,19.0,2.5M,472957.0,473k
GA,2019,1714011.0,171027.0,9.97817400238388,10.0,1.7M,171027.0,171k
HI,2019,171502.0,171502.0,100.0,100.0,172k,171502.0,172k
IA,2019,496888.0,102235.0,20.57505916826327,21.0,497k,102235.0,102k
ID,2019,276590.0,70744.0,25.577208142015255,26.0,277k,70744.0,71k
IL,2019,1912058.0,330581.0,17.289276789720816,17.0,1.9M,330581.0,331k
IN,2019,998011.0,187414.0,18.77875093561093,19.0,998k,187414.0,187k
KS,2019,486598.0,211486.0,43.46215972938647,43.0,487k,211486.0,211k
KY,2019,673469.0,0.0,0.0,0.0,673k,0.0,0k
LA,2019,637614.0,258514.0,40.543965471272585,41.0,638k,258514.0,259k
MA,2019,872222.0,195939.0,22.464349672445778,22.0,872k,195939.0,196k
MD,2019,879399.0,238646.0,27.137397245164024,27.0,879k,238646.0,239k
ME,2019,173580.0,61905.0,35.66367092983063,36.0,174k,61905.0,62k
MI,2019,1305178.0,523341.0,40.09728941186566,40.0,1.3M,523341.0,523k
MN,2019,793350.0,245475.0,30.941576857629045,31.0,793k,245475.0,245k
MO,2019,878868.0,172121.0,19.584397201855115,20.0,879k,172121.0,172k
MS,2019,484421.0,25774.0,5.320578587633484,5.0,484k,25774.0,26k
MT,2019,146548.0,29349.0,20.026885389087536,20.0,147k,29349.0,29k
NC,2019,1460970.0,168744.0,11.550134499681718,12.0,1.5M,168744.0,169k
ND,2019,107440.0,81638.0,75.98473566641847,76.0,107k,81638.0,82k
NE,2019,315348.0,62312.0,19.75975747428238,20.0,315k,62312.0,62k
NH,2019,176230.0,32381.0,18.374283606650398,18.0,176k,32381.0,32k
NJ,2019,1278014.0,275037.0,21.520656268241193,22.0,1.3M,275037.0,275k
NM,2019,315440.0,131489.0,41.68431397413137,42.0,315k,131489.0,131k
NV,2019,443283.0,31375.0,7.077871247036318,7.0,443k,31375.0,31k
NY,2019,2523659.0,243573.0,9.651581295254232,10.0,2.5M,243573.0,244k
OH,2019,1571595.0,233674.0,14.86858891762827,15.0,1.6M,233674.0,234k
OK,2019,666512.0,213451.0,32.025079818517895,32.0,667k,213451.0,213k
OR,2019,544853.0,251990.0,46.24917179496121,46.0,545k,251990.0,252k
PA,2019,1572853.0,468133.0,29.76330273712801,30.0,1.6M,468133.0,468k
RI,2019,130071.0,5595.0,4.301496874783772,4.0,130k,5595.0,6k
SC,2019,738444.0,32172.0,4.356728472301217,4.0,738k,32172.0,32k
SD,2019,133665.0,106004.0,79.30572700407735,79.0,134k,106004.0,106k
TN,2019,979563.0,193152.0,19.718180453937112,20.0,980k,193152.0,193k
TX,2019,5058774.0,1605255.0,31.732095563075163,32.0,5.1M,1605255.0,1.6M
UT,2019,570092.0,129673.0,22.74597784217284,23.0,570k,129673.0,130k
VA,2019,1278668.0,155058.0,12.126525415510516,12.0,1.3M,155058.0,155k
VT,2019,83878.0,34354.0,40.95710436586471,41.0,84k,34354.0,34k
WA,2019,1069712.0,148444.0,13.877006147449034,14.0,1.1M,148444.0,148k
WI,2019,824564.0,362600.0,43.97475514332423,44.0,825k,362600.0,363k
WV,2019,272769.0,52847.0,19.3742690701656,19.0,273k,52847.0,53k
WY,2019,92947.0,53655.0,57.726446254316976,58.0,93k,53655.0,54k
HI,2023,171502.0,171502.0,100.0,100.0,172k,171502.0,172k
MS,2023,484421.0,25774.0,5.320578587633484,5.0,484k,25774.0,26k
