district_id,funding_year,name,state_code,num_students,ia_bw_mbps_total,ia_monthly_cost_total,upstream_monthly_cost_total,projected_mrc_1g,projected_mrc_10g,multiple_10G_no_oversub,projected_mrc_10g_10kplus_no_oversub,total_projected_cost
881708,2019,Lafayette County School District,AR,599.0,1000,2192.21536505995,1456.4500000000000000000000,890.0,0.0,0.0,0.0,890.0
881716,2019,Cleveland County School District,AR,954.0,600,4571.819963718183,3400.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881720,2019,Blount County School District,AL,7793.0,2000,24164.59,0,0.0,2500.0,0.0,0.0,2500.0
881725,2019,Brewton City School District,AL,1113.0,1000,3317.55,0,0.0,2500.0,0.0,0.0,2500.0
881728,2019,Emerson-Taylor-Bradley School District,AR,1038.0,2000,4508.999080020414,3234.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881732,2019,Bullock County School District,AL,1476.0,1000,12091.31,0,0.0,2500.0,0.0,0.0,2500.0
881734,2019,Cedar Ridge School District,AR,787.0,2000,2628.6900539268454,1662.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881737,2019,Butler County School District,AL,3131.0,1500,5432.58,0,0.0,2500.0,0.0,0.0,2500.0
881739,2019,Hillcrest Public School District,AR,452.0,1000,6435.201911531047,5880.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881743,2019,Calhoun County School District,AL,8888.0,2500,12671.7,0,0.0,2500.0,0.0,0.0,2500.0
881744,2019,The Deer Mount Judea School District,AR,357.0,0,0.0,0,890.0,0.0,0.0,0.0,890.0
881749,2019,Ouachita River School Districtrct,AR,756.0,1000,2176.61204672007,1248.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881750,2019,Chambers County School District,AL,3651.0,1000,3904.27,0,0.0,2500.0,0.0,0.0,2500.0
881759,2019,Cherokee County School District,AL,4021.0,1500,8720.66,0,0.0,2500.0,0.0,0.0,2500.0
881760,2019,Ozark Mountain School District,AR,644.0,1000,1286.03989165043,495.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881763,2019,Chilton County School District,AL,7756.0,2500,13782.05,0,0.0,2500.0,0.0,0.0,2500.0
881769,2019,Choctaw County School District,AL,1417.0,1000,10006.11,0,0.0,2500.0,0.0,0.0,2500.0
881770,2019,Two Rivers School District,AR,894.0,1000,12709.320594930876,11611.200000000000000000000,890.0,0.0,0.0,0.0,890.0
881780,2019,Lawrence County School District,AR,971.0,2000,2002.701451541254,810.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881782,2019,Clarke County School District,AL,2691.0,1000,3403.91,0,0.0,2500.0,0.0,0.0,2500.0
