district_id,funding_year,name,state_code,fit_for_ia,fit_for_ia_cost,num_students,num_schools,ia_bw_mbps_total,ia_monthly_cost_total,ia_monthly_cost_total_extrap,meeting_2018_goal_oversub,projected_mrc_1g,projected_mrc_10g,multiple_10G_no_oversub,projected_mrc_10g_10kplus_no_oversub,projected_isp_3,projected_isp_49,projected_isp_74,total_projected_cost3,total_projected_cost49,total_projected_cost74
933777,2019,White Shield 85,ND,True,True,120.0,2.0,1000,845.6064943682011,845.6064943682011,True,1100.0,0.0,0.0,0.0,6.12,9.996,15.096000000000002,1106.12,1109.996,1115.096
933778,2019,Williston School District 1,ND,True,True,3889.0,9.0,10000,3286.1758431772264,3286.1758431772264,True,0.0,2200.0,0.0,0.0,198.339,323.95369999999997,489.2362,2398.339,2523.9537,2689.2362
933779,2019,Wing School District 28,ND,True,False,92.0,2.0,50,17.013159571176352,1374.903277072874,False,1100.0,0.0,0.0,0.0,4.692,7.6636,11.5736,1104.692,1107.6636,1111.5736
933780,2019,Wishek School District 19,ND,True,True,212.0,2.0,1000,1028.7881503161889,1028.7881503161889,True,1100.0,0.0,0.0,0.0,10.812,17.659599999999998,26.6696,1110.812,1117.6596,1126.6696
933781,2019,Wolford Public School District #1,ND,True,True,40.0,2.0,1000,830.8124425671781,830.8124425671781,True,1100.0,0.0,0.0,0.0,2.04,3.3320000000000003,5.032,1102.04,1103.332,1105.032
933782,2019,Wyndmere 42,ND,True,True,223.0,2.0,50,1350.2384193953515,1350.2384193953515,False,1100.0,0.0,0.0,0.0,11.373000000000001,18.5759,28.053400000000003,1111.373,1118.5759,1128.0534
929203,2019,Yellowstone School District 14,ND,True,True,78.0,1.0,1000,592.4242005059973,592.4242005059973,True,1100.0,0.0,0.0,0.0,3.978,6.497400000000001,9.8124,1103.978,1106.4974,1109.8124
933783,2019,Zeeland 4,ND,True,True,24.0,2.0,1000,582.4382155403068,582.4382155403068,True,1100.0,0.0,0.0,0.0,1.224,1.9992,3.0192,1101.224,1101.9992,1103.0192
936013,2019,Adams Central High School District,NE,True,True,913.0,4.0,1000,935.6132262174078,935.6132262174078,True,1100.0,0.0,0.0,0.0,46.563,76.05290000000001,114.8554,1146.563,1176.0529,1214.8554
936014,2019,Ainsworth Community School District,NE,True,True,432.0,3.0,200,960.5209460305807,960.5209460305807,False,1100.0,0.0,0.0,0.0,22.032000000000004,35.985600000000005,54.34560000000001,1122.032,1135.9856,1154.3456
