district_id,funding_year,name,state_code,num_students,ia_bw_mbps_total,ia_monthly_cost_total,projected_bw_fy2018,fit_for_ia,fit_for_ia_cost,sea_name,ss_name,state_network,projected_mrc_1g,projected_mrc_10g,multiple_10G_no_oversub,projected_mrc_10g_10kplus_no_oversub,total_projected_cost
881931,2019,Fayette County School District,AL,2375.0,1500,8292.27,2018.75,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881936,2019,Florence City School District,AL,4416.0,1000,2200.0,3753.6,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881941,2019,Fort Payne City School District,AL,3221.0,2500,10559.34,3221.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881946,2019,Franklin County School District,AL,3607.0,2000,7336.81,3065.95,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881951,2019,Gadsden City School District,AL,5166.0,2500,13695.69,4391.1,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881954,2019,Geneva City School District,AL,1269.0,1000,7243.02,1269.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881958,2019,Geneva County School District,AL,2775.0,1000,10918.94,2358.75,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881962,2019,Greene County School District,AL,733.0,1000,4060.46,733.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,890.0,0.0,0.0,0.0,890.0
881966,2019,Guntersville City School District,AL,1970.0,1000,3904.27,1970.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881971,2019,Hale County School District,AL,2611.0,1000,5215.79,2219.35,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881976,2019,Haleyville City School District,AL,1726.0,1500,8292.27,1726.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881981,2019,Hartselle City Schools,AL,3210.0,1500,7254.14,2728.5,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881986,2019,Henry County Board Of Education,AL,2489.0,1000,10624.95,2489.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881991,2019,Homewood City School District,AL,4170.0,1500,4005.79,4170.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881427,2019,Hoover City School District,AL,13938.0,10000,612.5,9756.6,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,0.0,2.0,5000.0,5000.0
881995,2019,Houston County Board Of Ed,AL,6319.0,1500,5105.05,5371.15,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882000,2019,Huntsville City School District,AL,24026.0,2000,6886.8,16818.2,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,0.0,3.0,7500.0,7500.0
882011,2019,Jackson County Schools,AL,5470.0,2000,7336.81,3829.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882015,2019,Jacksonville City School District,AL,1590.0,1000,4273.59,1590.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882020,2019,Jasper City School District,AL,2722.0,1500,5076.26,2313.7,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882031,2019,Lamar County School District,AL,2366.0,1000,3985.09,2366.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882036,2019,Lanett City School District,AL,886.0,1000,4029.4,886.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,890.0,0.0,0.0,0.0,890.0
882041,2019,Lauderdale County School District,AL,8409.0,2000,7076.95,7147.65,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882050,2019,Lawrence County School District,AL,4834.0,3000,8771.18,4108.9,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882057,2019,Lee County School District,AL,9653.0,2500,10459.86,8205.05,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881439,2019,Leeds City School District,AL,1404.0,1000,3985.09,1404.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882062,2019,Limestone County School District,AL,9209.0,1500,6421.98,7827.65,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882068,2019,Linden City School District,AL,494.0,1000,3220.43,494.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,890.0,0.0,0.0,0.0,890.0
882073,2019,Lowndes County School District,AL,1508.0,1000,4408.0,1281.8,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882078,2019,Macon County School District,AL,2023.0,5000,4050.0,1719.55,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881431,2019,Madison City Schools,AL,10440.0,7500,16497.22,8874.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,0.0,2.0,5000.0,5000.0
882084,2019,Madison County School District,AL,19352.0,5000,2800.0,13546.4,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,0.0,2.0,5000.0,5000.0
882088,2019,Marengo County School District,AL,1048.0,1500,7516.37,1048.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882092,2019,Marion County Board Of Education,AL,3664.0,1500,18055.1,3114.4,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881421,2019,Marshall County School District,AL,5687.0,2000,5284.84,4833.95,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882097,2019,Midfield City School District,AL,1086.0,1000,5409.4,1086.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882103,2019,Mobile County School District,AL,55798.0,5050,37379.82,22319.2,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,0.0,6.0,15000.0,15000.0
882109,2019,Monroe County School District,AL,3499.0,1500,4449.62,2974.15,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882115,2019,Montgomery County School District,AL,30051.0,5000,1175.41,12020.4,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,0.0,4.0,10000.0,10000.0
882134,2019,Morgan County School District,AL,7683.0,2500,9233.9,5378.1,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882140,2019,Mountain Brook City,AL,4343.0,2000,5022.09,3691.55,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882146,2019,Muscle Shoals City Schools,AL,2883.0,2000,6087.87,2450.55,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882152,2019,Oneonta City School District,AL,1492.0,1500,12871.09,1492.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882157,2019,Opelika City School District,AL,4395.0,2000,5500.0,3735.75,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882164,2019,Opp City School District,AL,1322.0,1000,4006.84,1322.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882169,2019,Oxford City School District,AL,4143.0,2500,8743.8,3521.55,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882174,2019,Ozark City School District,AL,2118.0,1500,5105.05,1800.3,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882178,2019,Pell City School District,AL,3999.0,1000,5623.98,3399.15,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882183,2019,Perry County School District,AL,1442.0,1000,4442.19,1442.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882188,2019,Phenix City School District,AL,7029.0,2000,6221.15,5974.65,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882193,2019,Pickens County School District,AL,2609.0,1500,8205.91,2217.65,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882199,2019,Piedmont City School District,AL,1235.0,2000,7504.27,1235.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882203,2019,Pike County School District,AL,2122.0,1000,4006.84,1803.7,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882213,2019,Randolph County School District,AL,2251.0,1000,7116.59,1913.35,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882230,2019,Roanoke City,AL,1535.0,1000,3904.27,1535.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882236,2019,Russell County School District,AL,3399.0,1000,3979.64,2889.15,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
882241,2019,Russellville City Schools,AL,2530.0,1500,6421.98,2530.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881640,2019,Saraland City Board Of Education,AL,3054.0,1000,3998.78,3054.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881659,2019,Satsuma City School District,AL,1417.0,1000,3824.07,1417.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
