,district_id,state_code,size,locale,num_students,cost_18,cost_19,bw_per_student,pct_bwps_increase,state_network_natl_analysis,cost_diff,cost_diff_per_student
1020,969487,TX,Small,Town,2046,8183.14912857677110060480,1068.115474752749943234642,4887.5855327468230694,9.0000000000000000,False,-7115.033653824021157370158,-3.477533555143705355508
1021,969488,TX,Small,Rural,603,3399.00000000000000000000,2495.00000000000000000000,3316.7495854063018242,3.0000000000000000,False,-904.00000000000000000000,-1.49917081260364842454
1022,969493,TX,Small,Rural,1066,4025.00000000000000000000,342.325419121741495110461,9380.8630393996247655,9.0000000000000000,False,-3682.674580878258504889539,-3.454666586189735933292
1023,969494,TX,Tiny,Rural,84,2295.600000000000000000000,924.00000000000000000000,1190.4761904761904762,1.00000000000000000000,False,-1371.600000000000000000000,-16.328571428571428571429
1024,969495,TX,Small,Rural,389,2100.00000000000000000000,1997.7300000000000000000000,1285.3470437017994859,0.57240788346186803766,False,-102.2700000000000000000000,-0.2629048843187660668380
1025,969519,TX,Small,Rural,529,9493.6112169752049883379506,404.67390125547728210880,1890.3591682419659735,3.7731568998109641,False,-9088.9373157197277062291506,-17.1813559843473113539303
1026,969523,TX,Small,Rural,585,2072.00000000000000000000,321.147242200955698510461,17094.017094017094,20.4700854700854701,False,-1750.852757799044301489539,-2.992910697092383421350
1027,969532,TX,Small,Town,1181,2444.00000000000000000000,2000.38711938709584608000,8467.4005080440304826,9.1693480101608806,False,-443.61288061290415392000,-0.37562479306765804735
1028,969538,TX,Medium,Rural,5953,4925.27422620966867950880,1191.255806317165906101990,1679.8252981689904250,9.0000000000000000,False,-3734.018419892502773406810,-0.627249860556442595902
1029,969545,TX,Small,Town,1070,4725.00000000000000000000,975.755404684966979234270,9345.7943925233644860,84.1401869158878505,False,-3749.244595315033020765730,-3.503966911509376654921
1030,969547,TX,Medium,Town,3848,2986.1200000000000000000000,464.815415366286372770461,2598.7525987525987526,19.5873180873180873,False,-2521.3045846337136272295390,-0.6552246841563704852468
1031,969551,TX,Small,Rural,1542,2865.00000000000000000000,363.283448673288354120461,6485.0843060959792477,9.2853437094682231,False,-2501.716551326711645879539,-1.622384274530941404591
1032,969554,TX,Small,Rural,792,798.7500000000000000000000,949.447925710741913524580,12626.262626262626,200.2626262626262584,False,150.6979257107419135245800,0.1902751587256842342482
1033,969557,TX,Small,Suburban,3140,1735.8969037436770432504800,781.900841900873667632509,3184.7133757961783439,8.9585987261146497,False,-953.9960618428033756179710,-0.3038204018607654062478
1034,969562,TX,Medium,Town,4737,1565.00000000000000000000,1322.768085974475307752512,2111.0407430863415664,9.0253324889170361,False,-242.231914025524692247488,-0.051136143978367045017
1035,969567,TX,Medium,Town,3422,3630.00000000000000000000,3514.500000000000000000000,1461.1338398597311514,4.0000000000000000,False,-115.500000000000000000000,-0.033752191700759789597
1036,969579,TX,Small,Town,2091,3800.00000000000000000000,629.247675291314280280579,4782.4007651841224295,9.0000000000000000,False,-3170.752324708685719719421,-1.516380834389615360937
1037,969593,TX,Small,Rural,3281,4409.79434073632828364552,1184.985030627454820752734,3047.8512648582749162,9.2438281011886620,False,-3224.809310108873462892786,-0.982873913474207090184
1038,969596,TX,Small,Town,1449,3000.00000000000000000000,3000.00000000000000000000,1380.2622498274672188,0.68806073153899240862,False,0E-20,0E-20
1039,969597,TX,Small,Suburban,3963,4003.7800000000000000000000,901.665909698459346063200,2523.3409033560434015,9.0025233409033560,False,-3102.1140903015406539368000,-0.7827691370935000388435
1040,969599,TX,Medium,Suburban,3507,3759.09867008276477458504,835.307621830052214445314,2851.4399771884801825,8.5580268035357856,False,-2923.791048252712560139726,-0.833701467993359726302
1041,969604,TX,Medium,Suburban,7634,6250.1300000000000000000000,4545.4500000000000000000000,1309.9292638197537333,4.1526067592350013,False,-1704.6800000000000000000000,-0.2233010217448257794079
1042,969611,TX,Tiny,Rural,302,1255.00000000000000000000,903.078628238186941948152,33112.582781456954,99.0000000000000011,False,-351.921371761813058051848,-1.165302555502692245205
1043,969613,TX,Tiny,Rural,109,2505.2500000000000000000000,1750.500000000000000000000,4587.1559633027522936,10.1926605504587156,False,-754.7500000000000000000000,-6.9243119266055045871560
1044,969618,TX,Small,Rural,918,2898.00000000000000000000,335.809056992268942310461,10893.246187363834,23.9999999999999990,False,-2562.190943007731057689539,-2.791057672121711391819
1045,969625,TX,Small,Urban,2951,6000.00000000000000000000,3180.00000000000000000000,1694.3409013893595391,4.1202982039986445,False,-2820.00000000000000000000,-0.95560826838359878007
1046,969629,TX,Small,Rural,708,2030.00000000000000000000,2700.00000000000000000000,1412.4293785310734463,8.8305084745762712,False,670.00000000000000000000,0.94632768361581920904
1047,969635,TX,Medium,Suburban,7370,2944.600000000000000000000,1397.461275417018768127200,1356.8521031207598372,9.2103120759837178,False,-1547.138724582981231872800,-0.209923843226998810295
1048,969636,TX,Small,Town,1394,6683.4597643452045951144716,4056.00000000000000000000,7173.6011477761836442,98.7847919655667144,False,-2627.4597643452045951144716,-1.8848348381242500682313
1049,969644,TX,Small,Rural,1032,1790.00000000000000000000,340.828417010916719600461,9689.9224806201550388,49.0000000000000000,False,-1449.171582989083280399539,-1.404236030028181473255
1050,969652,TX,Medium,Suburban,10808,6184.900000000000000000000,5975.46117951092173648000,927.0910436713545522,0.98992151305953093605,False,-209.438820489078263520000,-0.019378129208834036225
1051,969654,TX,Medium,Suburban,4056,3394.9900000000000000000000,473.973545926626176820461,2465.4832347140039448,9.4117357001972387,False,-2921.0164540733738231795390,-0.7201717095841651437819
1052,969662,TX,Small,Town,1569,2049.00000000000000000000,2146.52991935884659328000,6373.4862970044614404,8.8852772466539197,False,97.52991935884659328000,0.06216056045815589119
1053,969663,TX,Small,Rural,1595,2023.05640894145630083240,1025.436794834133020308416,6269.5924764890282132,8.9811912225705329,False,-997.619614107323280523984,-0.625466842700516163338
1054,969665,TX,Medium,Town,3459,2540.00000000000000000000,447.687950039497028030461,2891.0089621277825961,9.1590054929170280,False,-2092.312049960502971969539,-0.604889288800376690364
1055,969670,TX,Tiny,Rural,138,1491.6700000000000000000000,1425.00000000000000000000,2173.9130434782608696,5.8695652173913043,False,-66.6700000000000000000000,-0.4831159420289855072464
1056,969671,TX,Tiny,Rural,149,2295.600000000000000000000,1750.500000000000000000000,3355.7046979865771812,11.5503355704697987,False,-545.100000000000000000000,-3.658389261744966442953
1057,969677,TX,Tiny,Rural,357,9000.3578039039348033774706,384.02823381735701380260,2801.1204481792717087,8.1036414565826331,False,-8616.3295700865777895748706,-24.1353769470212263013302
1058,969687,TX,Tiny,Rural,173,2225.00000000000000000000,911.2500000000000000000000,1156.0693641618497110,0.80346820809248554928,False,-1313.7500000000000000000000,-7.5939306358381502890173
1059,969690,TX,Tiny,Rural,476,2045.00000000000000000000,1400.00000000000000000000,1050.4201680672268908,3.6953781512605042,False,-645.00000000000000000000,-1.35504201680672268908
1060,969693,TX,Small,Rural,1099,1800.00000000000000000000,343.778391758718483340461,9099.1810737033666970,23.7315741583257507,False,-1456.221608241281516659539,-1.325042409682694737634
1061,969694,TX,Large,Urban,23824,10000.00000000000000000000,8990.00000000000000000000,839.4895903290799194,4.0377770315648086,False,-1010.00000000000000000000,-0.04239422431161853593
1062,969707,TX,Medium,Town,6155,7713.400000000000000000000,1456.955154986889491064162,1624.6953696181965881,5.7099918765231519,False,-6256.444845013110508935838,-1.016481696996443624522
