,district_id,state_code,name,num_students,locale,size,meeting_2018_goal_oversub,fy18_ia_bw_mbps_total,fy17_ia_bw_mbps_total,fy18_ia_bandwidth_per_student_kbps,fy17_ia_bandwidth_per_student_kbps,fy18_hierarchy_ia_connect_category,fy17_hierarchy_ia_connect_category
932,889973,GA,Morgan County School District,3152,Town,Small,True,4000,4000,1269,1334,Fiber,Fiber
933,889974,GA,Murray County School District,7471,Suburban,Medium,True,6100,2100,816,296,Fiber,Fiber
934,890004,GA,Taliaferro County,153,Rural,Tiny,True,200,150,1307,993,Fiber,Fiber
935,890023,GA,Walker County School District,8943,Rural,Medium,True,11500,11500,1286,1353,Fiber,Fiber
936,890026,GA,Warren County School District,272,Rural,Small,True,300,300,1103,1103,Fiber,Fiber
937,890031,GA,Wheeler County School District,1014,Rural,Small,True,1200,1200,1183,1240,Fiber,Fiber
938,890032,GA,White County School District,3819,Rural,Medium,True,2700,2700,707,700,Fiber,Fiber
939,894139,IA,Sibley-Ocheyedan Communtiy School District,801,Town,Small,True,1000,1000,1248,1302,Fiber,Fiber
940,894141,IA,Union Community School District,1144,Rural,Small,True,2000,650,1748,600,Fiber,Fiber
941,894142,IA,Sioux Central Community School District,641,Rural,Small,True,1000,1000,1560,1488,Fiber,Fiber
942,894146,IA,Riverside Community School District,662,Rural,Small,True,1000,400,1511,617,Fiber,Fiber
943,894148,IA,Prairie Valley Community School District,611,Rural,Small,True,1000,1000,1637,1631,Fiber,Fiber
944,894151,IA,East Marshall Community School District,871,Rural,Small,True,900,350,1033,423,Fiber,Fixed Wireless
945,894158,IA,Akron-Westfield Community School District,506,Rural,Small,True,1000,1000,1976,1706,Fiber,Fiber
946,894168,IA,Andrew Community School District,173,Rural,Small,True,1000,30,5780,204,Fiber,Copper
947,894181,IA,Bcluw Community School District,614,Rural,Small,True,1000,1000,1629,1608,Fiber,Fiber
948,894184,IA,Bellevue Community School District,703,Town,Small,True,1000,1000,1422,1618,Fiber,Fiber
949,894186,IA,Bennett Community School District,69,Rural,Tiny,True,100,75,1449,1071,Fiber,Fiber
950,894192,IA,Boyden-Hull Community School District,647,Rural,Small,True,1000,100,1546,156,Fiber,Fiber
951,894196,IA,Burlington Community School District,3978,Town,Medium,True,3500,3500,880,882,Fiber,Fiber
952,894197,IA,Cam Community School District,492,Rural,Small,True,800,800,1626,1536,Fiber,Fiber
953,894201,IA,Cardinal Community School District,858,Rural,Small,True,1000,1000,1166,1060,Fiber,Fiber
954,894204,IA,Cedar Falls Community School District,5464,Urban,Medium,True,5000,1000,915,184,Fiber,Fiber
955,894208,IA,Central City Community School District,432,Rural,Small,True,500,300,1157,676,Fiber,Fiber
956,894211,IA,Central Decatur School District,729,Rural,Small,True,1000,1000,1372,1410,Fiber,Fiber
957,894213,IA,Central Lyon Community School District,762,Rural,Small,True,1000,1000,1312,1269,Fiber,Fiber
